,name,phone,address,rating,description,main_tag,sub_tag
21,Cell Care Mobile Service Center,9995487186,"Thiruvalla, Pathanamthitta View Location",Be the first one to rate,"This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Pathanamthitta. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establish... + More",Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
22,AEON Digital Hub,8547282930 04792412829,"Haripad, Alleppey View Location",Be the first one to rate,"Aeon mobiles' first platform (shop) was established on 10th september 2016, saturday at Chakkalayil buildings, near Kumarapuram panchayat office, Haripad. Later on after three and half years we have shifted our showroom to Akhil buildings (opposite to previous shop)and we renamed it as ""AEON DIGITAL HUB""","Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop Mobile, Internet, Computer And Dtp","Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop Mobile, Internet, Computer And Dtp"
23,Nano Tech,9633585050,"Pulamon, Kollam View Location",Be the first one to rate,"Nanotech in Kollam is one of the leading businesses in the Mobile Phone Dealers. Also known for Mobile Phone Dealers, Mobile Phone Repair & Services, Mobile Phone Dealers-Samsung, Mobile Phone Dealers-MI, Mobile Phone Dealers-Oppo, Mobile Phone Dealers-Nokia, Mobile Phone Memory Card Dealers and much more. Find Address, Contact Number... + More",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Care Mobile phone accessories Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Care Mobile phone accessories Mobile Phone Servicing Mobile Phone Shop Sales and Service
24,O2 Mobiles,9846180920,"Vyttila, Ernakulam View Location",Be the first one to rate,"O2 Mobiles in Ernakulam. Mobile Phone Dealers with Address, Contact Number, Photos, Maps. View O2 Mobiles, Ernakulam on Justdial. A dealer of mobiles and tablets, O2 Mobiles in Vyttila has been providing an extraordinary service to the citizens ever since its establishment in 2015. Making available a wide range of mobiles and tablets o... + More",Also listed In Mobile Phone Mobile Accessories Mobile Phone Distributors Mobile Phone Shop,Also listed In Mobile Phone Mobile Accessories Mobile Phone Distributors Mobile Phone Shop
25,Alleppey Mobiles,9847592174 0477 2254699 0477 2237337,"Alleppey, Alleppey View Location",Be the first one to rate,"Mobiles, Laptop,LED TV(Sales & Service). Mobile Accessories, Mobile Charger and Adapter, Second hand mobile phones available. Laptop sales & service",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop
26,J J Mobiles,7012000696 9207000696,"Manjadi, Pathanamthitta View Location",Be the first one to rate,Mobile phone shop,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Phone Servicing Sales and Service,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Phone Servicing Sales and Service
27,Cellular Mobiles,7034034842,"Anchalummood, Kollam View Location",Be the first one to rate,Mobile phones shop.,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
28,Sudhamritham Digital Hub,8589060060 9946481335,"Koyilandy, Calicut View Location",Be the first one to rate,Mobile phones shop.,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
29,All mobile solutions,9995322001,"Nr. High School Jn., Kollam View Location",Be the first one to rate,Mobile phone service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
30,Ifix Phone Repair,6235394745,"Pathanamthitta, Pathanamthitta View Location","5 out of 5, based on user votes",Mobile phone repair,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Accessories Shop apple service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Accessories Shop apple service
31,Fonez,9388212345,"Statue, Trivandrum View Location","5 out of 5, based on user votes",,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
32,Twins Mobiles,9895240850,"Pattom, Trivandrum View Location",Be the first one to rate,,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
33,Venus Mobiles,9388866606,"Thirumala, Trivandrum View Location",Be the first one to rate,,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
34,Karthika Electronics and Digital hub,9947977788 04682211266 9447595344,"Kozhencherry, Pathanamthitta View Location",Be the first one to rate,"Electronics and Digital hub.. This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Pathanamthitta. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and servi... + More",Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Accessories Mobile Chargers & Adaptor Mobile Phone Accessories Shop Mobile Phone Shop Mobiles & Electronics Sales and Service,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Accessories Mobile Chargers & Adaptor Mobile Phone Accessories Shop Mobile Phone Shop Mobiles & Electronics Sales and Service
35,Mi Store,7356643666 04714050287,"Vellayambalam, Trivandrum View Location",Be the first one to rate,"We Deal with Xiaomi Original Products Like , Redmi Phones , Mi TV , Mi Original Accessories With Warrenty...",Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
36,MI STORE RAMANATTUKARA,9544666107 9400345485,"Ramanattukara, Calicut View Location",Be the first one to rate,"Xiaomi was founded in 2010 by serial entrepreneur Lei Jun based on the vision “innovation for everyone”. We believe that high-quality products built with cutting-edge technology should be made accessible to everyone. We create remarkable hardware, software, and Internet services for and with the help of our Mi fans. We incorporate thei... + More","Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Chargers Mobile Phone Shop Mobile, Internet, Computer And Dtp Mobiles & Electronics Sales and Service","Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Chargers Mobile Phone Shop Mobile, Internet, Computer And Dtp Mobiles & Electronics Sales and Service"
37,INCELL Mobiles,9961474777 9744003999 9207647777,"Ettumanoor, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of Branded Mobiles Phones, Spares and Accessories Etc... We undertake mobile Servicing &Repairing Works,Recharge Coupons,New Mobile Connections, Head Phones, Bluetooth headsets, Wireless Speakers, Mobile phone covers,Batteries, etc.",Also listed In Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Mobile phone accessories Sales and Service
38,MOBILEMART,9142448844 04844044443 9142213141,"Kaloor, Ernakulam View Location",Be the first one to rate,"Welcome to the all new World of Mobile Mart, south India’s most trusted digital establishment that makes your life better through technology and change the way you buy, by unboxing an online shopping experience you have been missing for so long. Having started the journey in 2017 , we maximised the showroom connectivity, to become the one... + More",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service
39,Amigos Communications,9846780036,"Kuravilangad, Kottayam View Location",Be the first one to rate,Mobilephone Servicing Centre,Also listed In Mobile Phone Mobile Phone Servicing Mobile Accessories,Also listed In Mobile Phone Mobile Phone Servicing Mobile Accessories
40,A 2 Z Mobile Accessories,8301800100,"Caltex, Kannur View Location",Be the first one to rate,Mobile Phone shop. Dealers of all branded mobiles and Accessories. All types of Mobile Servicing and Recharging,Also listed In Mobile Phone Mobile phone accessories Mobile Phone Shop,Also listed In Mobile Phone Mobile phone accessories Mobile Phone Shop
41,Prabha Enterprises,9562002111 0495 2360746,"Calicut, Calicut View Location",Be the first one to rate,"Computerised Servicing Centre of Smartphones, Tablets, China Phone Etc............",Also listed In Mobile Phone Mobile Phone Servicing,Also listed In Mobile Phone Mobile Phone Servicing
42,G Hub,8137883344 04862-222782,"Thodupuzha, Idukki View Location",Be the first one to rate,Mobile phone shop,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Phone Accessories Shop,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Phone Accessories Shop
43,MOBILE CARE,9946210080,"Kothamangalam, Ernakulam View Location",Be the first one to rate,"Mobile care - Branded mobiles, second hand mobiles, mobile accessories, mobile phone servicing, mobile phone distributors etc",Also listed In Mobile Phone Mobile Phone Servicing Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service
44,Kadavarath,9645020559 9645020559,"Chalissery, Palakkad View Location",Be the first one to rate,Mobiles Sales & Service,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
45,Grand Mobiles,9895112432 9847071112,"Pulimoodu Jn, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all Branded Mobiles and Accessories. All types of Mobile Servicing and Recharging,New Mobile Connections, Etc",Also listed In Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories,Also listed In Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories
46,Next Mobiles & Electronics,9562214375,"Karukachal, Kottayam View Location",Be the first one to rate,"Mobile phone & Electronics Shop. Dealers and computerised repairing and service centre of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.Authorised dealers of Reliance Jio, Micromax, Lava, Samsung, Lenovo, Nokia, Intex & Oppo. All ... + More",Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing Mobiles & Electronics,Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing Mobiles & Electronics
47,Hi- Tech Mobiles,9746244628,"Puthuppally, Kottayam View Location",Be the first one to rate,"Mobile Phone unlocking, formatting, Soft ware, Tab Servicing, modern unlocking and other mobile phones services",Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing,Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing
48,4G Mobiles,9747686436 0483-2724466,"Edavannappara, Malappuram View Location","4.5 out of 5, based on user votes",Mobile Phone sales and Service,Also listed In Mobile Phone Sales and Service,Also listed In Mobile Phone Sales and Service
49,3 G Mobiles,9744288054,"Kothamangalam, Ernakulam View Location",Be the first one to rate,"Mobile Shop. All kinds of branded Mobilephones sales, Service and Accessories. computerised Mobile Servicing and Recharge Coupons are Available",Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service
50,Macpple Care India,9349093491 7558077772 9846057657,"Cochin, Ernakulam View Location",Be the first one to rate,"The No1 Apple Care Repair Centre Kochi, Apple Authorised Resellers (Macpple Store) 30 Mins Express Service, 18Month Warranty With Original Spares. We never sell like original. We sell The ''Original Means'' ''Original''. Most Modern Repair Facility With 10 Year Long Experts In Apple Products. Apple ... + More",Also listed In Mobile Phone apple service Mobile Care Mobile Phone Shop Sales and Service,Also listed In Mobile Phone apple service Mobile Care Mobile Phone Shop Sales and Service
51,MyG My Gen Digital Hub,9249001001,"Puthiyara, Calicut View Location",Be the first one to rate,"Mobile Phones myG online offers best smartphones that meet your budget. Whether you are looking for best smartphones with larger, fuller screens, power-packed batteries, fast processors, beautification apps, high-tech selfie cameras or just large internal space, we take care of all the essentials. You can buy branded smartphones online f... + More",Also listed In Mobile Phone Mobile Chargers & Adaptor Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Mobile Chargers & Adaptor Mobile Phone Servicing Mobile Phone Shop
52,iTel iT Service l The No.1 Apple Service in Kerala,9349093491 7558077772 9846057657,"Vyttila, Ernakulam View Location","5 out of 5, based on user votes","iTel iT Service The No.1 Apple Service Center In Kochi, Kerala. With 10+ Years Of Apple Sales And Service Experience, We Are Able To Fix Any Problems With Your iPhone, iPad, Apple Watch, Macbook, & iMac. With Certified And Well Trained Apple Care Experts, We Make Sure You Get World-Class Service And Support For Your Beloved Apple Prod... + More",Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Shop Mobile Phone Unlocking,Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Shop Mobile Phone Unlocking
53,iTel iT Service ( Best Apple Service Center in Kerala),9349093491 7558077772 9846057657,"Cochin, Ernakulam View Location","5 out of 5, based on user votes","iPhone, iPad, Macbook, All Apple Product Service, 1Year Warranty For LCD, 30-1hr Display Replacement, No Inspection Charge, No Fix No Charge. Trusted Service Center Since 2000",Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Shop
54,I Care Fon,9539277774,"Civil Station, Kollam View Location",Be the first one to rate,"iCareFon is the most trusted Apple service centers in Kerala, spreading over its branches and highly sophisticated lab in major cities like Cochin, Trivandrum and Thrissur. iCareFon always ensure customer service at its utmost satisfaction through our dedicated and professional customer care support Engineers. We are recognized as revolut... + More",Also listed In Mobile Phone apple service Mobile Accessories Mobile Phone Servicing Sales and Service,Also listed In Mobile Phone apple service Mobile Accessories Mobile Phone Servicing Sales and Service
55,Glory Mobiles,90728 06045 04828 203 958,"Kanjirappally, Kottayam View Location",Be the first one to rate,All multi brand mobiles tablet sales and service..accessories...all mobile recarge...dth charging...all bank credict debit card accepted here.,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Accessories Mobile Care Mobile Phone Servicing,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Accessories Mobile Care Mobile Phone Servicing
56,iCareFon,9497 677 774,"Anchal, Kollam View Location",Be the first one to rate,"Apple Repair And Service Center, MacBook Repair and Service Center, iPhone Repair And Service Center, iMac Repair and Service Center, iPad Repair and Service Center, Apple Watch Repair and Service Center, iWatch Reapir and Service Center, Apple TV Repair and Service center, Mac Mini Repair and Service cent, Mac Pro Repair and Service Cent... + More",Also listed In Mobile Phone apple service Mobile Care Mobile Phone Servicing,Also listed In Mobile Phone apple service Mobile Care Mobile Phone Servicing
57,KR Mobiles Sales and Service,8086451772 9400111772,"Pandalam, Pathanamthitta View Location",Be the first one to rate,Mobile sales Mobile service Dtp work Photostat Duty payed .,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop
58,Oiga Mobiles,9656545450 0477 2239919,"Mullakkal, Alleppey View Location",Be the first one to rate,All types of Mobiles and Mobile Accessories are available in our shop in Alappuzha. We take care of Mobile Services too.,Also listed In Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop Sales and Service
59,Mobile Centre,9744812227 9744612227 9447712227,"Mullakkal, Alleppey View Location",Be the first one to rate,"Mobile Phone Sales and Service, Mobile Accessories, Mobile Recharging, Mobile Phone Shop, Mobile Phone Services etc.",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop
60,Mobile care- Mobile phone service centre Palakkad,9020304067 9207804067,"Palakkad, Palakkad View Location",Be the first one to rate,We will give fast and best service for your mobile phone. Our technicians are very qualified and well experienced. Our specialized technicians assuring a best and quality service for our customers. We will give good support for all brand and non branded mobile phone and tablet. This well -known establishment acts as a one-step destinat... + More,Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile phone accessories Mobile Phone Servicing,Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile phone accessories Mobile Phone Servicing
61,New Sangeetha Mobiles,9496869400,"Mundakayam, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories, Head Phones, Bluetooth headsets, Wireless Speakers, Mobile phone covers,Batteries, etc.",Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
