,name,phone,address,rating,description,main_tag,sub_tag
10,Nokia Service Centre,8129948833,"Kottayam, Kottayam View Location",Be the first one to rate,"We repair all models of Nokia phones like Nokia Asha, Nokia Lumia,Nokia N9,Nokia . MI service also we undertake.",Also listed In Mobile Phone Mobile Care Sales and Service,Also listed In Mobile Phone Mobile Care Sales and Service
11,Mahadev Mobile Accessories,9072909004 9072909005,"Pulimoodu Jn, Kottayam View Location",Be the first one to rate,Wholesaledealers in spare parts & accessories,Also listed In Mobile Phone Mobile Accessories,Also listed In Mobile Phone Mobile Accessories
12,Mobile Nation,9946483600 9544143785,"Perunna, Kottayam View Location",Be the first one to rate,* Mobile Sales and service * Emi available * Online phone * Used phones and all kind of accessories * Unlocking and servicing * Memory cards * Pouches Samsung A50 - 18490 Oppo F11 - 17990 Vivo y17 - 15990 Redmi note Pro - 1490 Bajaj emi Hdb.... 0% schme available,Also listed In Mobile Phone Mobile phone accessories Mobile Phone Servicing Sales and Service,Also listed In Mobile Phone Mobile phone accessories Mobile Phone Servicing Sales and Service
13,aysha comunication,9847013274 04844033274 9633778833,"Shanmugham Road, Ernakulam View Location",Be the first one to rate,we are repair all type of mobile phone any problem with in 30 min with our warranty also screen replacement lcd broken chip level ic software update unlocking all phone all day we are open shop 10 am to 8 pm..also open all sunday and holiday will be open with lcd glass broken replacement with in 2 hour neat and clean your phone,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Unlocking Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Unlocking Sales and Service
14,Aeon Mobile Sales & Accessories,8547282930 04692412829,"Haripad, Alleppey View Location",Be the first one to rate,"Aeon, Mobile Sales & Accessories, Near Panchayath Office, Kumarapuram PO, Harippad,",Also listed In Mobile Phone Mobile Accessories Recharge Coupon,Also listed In Mobile Phone Mobile Accessories Recharge Coupon
15,JUMBO Mobiles & Accessories,9847836493,"Thalassery, Kannur View Location",Be the first one to rate,"All Mobile brands under one roof , Mobile accessories , second hand Mobiles, Mobile service centre in Thalassery",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Chargers & Adaptor Mobile phone accessories,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Chargers & Adaptor Mobile phone accessories
16,Tharakans digital store,9048168319,"Thrissur Town, Thrissur View Location",Be the first one to rate,Selling mobile phones at the least price anywhere comparitive to online shopping or from shops. Cash on delivery available only in Thrissur.A wide range of online trending mobiles in Tharakan digital Store. Need a new phone? The fastest online Mobile phone delivery than ever is available NOW!! Head to Tharakans Digital store at th... + More,Also listed In Mobile Phone Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Shop,Also listed In Mobile Phone Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Shop
17,Mobi Star,9539523714 7902673770,"Parampuzha, Kottayam View Location",Be the first one to rate,"Mobile sales and service. Dealers of Oppo, Samsung, MI, Lenovo, Moto, itel, Honor etc....DTP English & Malayalam",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service
18,Perfect Mobiles,9048602090,"Kidangoor, Kottayam View Location",Be the first one to rate,"Mobile shop. All types of branded mobilephones Oppo, Nokia, Vivo, MI, Lenovo, Asus, honor etc....sales, service and accessories.",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service
19,Cellis Connect 2 life,7034999883 0484 4035839 9847480703,"Marine Drive, Ernakulam View Location",Be the first one to rate,"Mobile phone Accessories sales, mobile phone Service all over kerala. We deliver all types of mobile accessories.",Also listed In Mobile Phone Mobile Accessories Mobile phone accessories Mobile Phone Accessories Shop,Also listed In Mobile Phone Mobile Accessories Mobile phone accessories Mobile Phone Accessories Shop
20,CRAZY MOBILE,8129797555 04702629917 9946838105,"Attingal, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of Branded Mobiles Phones, Spares and Accessories,We undertake mobile Servicing &Repairing Works,Recharge Coupons,New Mobile Connections, Head Phones, Bluetooth headsets, Wireless Speakers, Mobile phone covers,Batteries, etc.",Also listed In Mobile Phone apple service Branded Mobile & Second Hand Mobile Phone Mobile Accessories,Also listed In Mobile Phone apple service Branded Mobile & Second Hand Mobile Phone Mobile Accessories
21,J M Mobilephone servicing & Auto Consultancy Centre,9747558872 9349938872,"Kudamaloor, Kottayam View Location",Be the first one to rate,Mobile phone Servicing & Auto Consultancy Centre. All types of mobile servicing and accessories & auto consultancy services available.,Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing,Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing
22,Mobile Gallery,9048500500 7034586650,"Kaduvakulam, Kottayam View Location",Be the first one to rate,"Mobile Shop. All types of mobile phone sales, service and accessories and phone exchange facility & Finance service etc... available",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service
23,Areekal Mobiles,9633881188 9656535360 9447677860,"Mundakayam, Kottayam View Location",Be the first one to rate,"Mobilephone shop. Sales, service and accessories of all types of mobilephones. Dealers of Samsung, Nokia, LG, Micromax, Oppo, Vivo, Asus, MI etc....",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service
24,D-HUB - Mi Store,7909131923,"Mavelikara, Alleppey View Location",Be the first one to rate,All kinds of mobiles & computer sales & services......,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop
25,Phone Kada,9947118538 9207209797,"Pulimoodu Jn, Kottayam View Location","3 out of 5, based on user votes",Mobile phone sales and services. All type mobile service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop
26,Mobile Plus,8943464543 9633363731,"Ambalapuzha, Alleppey View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all Branded Mobiles and Accessories. All types of Mobile Servicing and Recharging,New Mobile Connections,Nokia ,Lg, Samsung Etc",Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service
27,Phone Club,9748277151 7592052852,"Vakathanam, Kottayam View Location",Be the first one to rate,"Mobilephone shop. All types of mobilephone sales, service and accessories available. Dealers of Samsung, Oppo, Vivo, MI etc....",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service
28,Galaxy Mobile Service,9048954165,"Pattambi, Palakkad View Location",Be the first one to rate,All Mobile Phone Services Samsung Service Mi Service Oppo Service Vivo Service Iphone Service All Software Uploading & Unlocking Broken Glass changing,Also listed In Mobile Phone apple service Mobile Phone Servicing Mobile Phone Unlocking,Also listed In Mobile Phone apple service Mobile Phone Servicing Mobile Phone Unlocking
29,Incell Group of Mobile Stores Kanjirappally Kottayam,9562626962 9207277770,"Kanjirappally, Kottayam View Location",Be the first one to rate,* Mobilephones * Tablets * Gadget Insurance * Accessories * Repair & Services,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service
30,Incell Group of Mobile Stores Ettumanoor Kottayam,9562626962 9207277770,"Ettumanoor, Kottayam View Location",Be the first one to rate,* Mobilephones * Tablets * Gadget Insurance * Accessories * Repair & Services,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service
31,Incell Group of Mobile Stores Baker Junction Kottayam,9562626962 9207277770 9207664777,"Baker Jn., Kottayam View Location",Be the first one to rate,* Mobilephones * Tablets * Gadget Insurance * Accessories * Repair & Services,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service
32,Hi-Look Mobile World,9605677798 04792455355 9605059355,"Chengannur, Alleppey View Location",Be the first one to rate,"We have the biggest and latest collection of smartphones, tablets, Iphones and accessories at unbeatable prices in the gadget market.",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service
33,Selfi Mobiles Kallara Kottayam,9495245123 8547867879,"Kallara South, Kottayam View Location",Be the first one to rate,"Mobilephone shop. All types of branded mobilephones sales, service and accessories available. Dealers of itel, Samsung, Vivo, Oppo etc....",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop Sales and Service
34,New Mobile Spot,9847800747,"Pala, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers,mobile phone covers,batteries, etc.",Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop
35,Cell 4 U Mobiles,9895072434 7558870066,"Pala, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.",Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop
36,MAHALALSHMI SOLUTIONS,9037778448,"Kottayam, Kottayam View Location",Be the first one to rate,"BETTER SERVICE,QUICK SERVICE.CUSTOMER SATISFACTION IS OUR MOTTO.WELL EXPERIENCED WORKER ,GOOD ,BETTER, BEST",Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile Chargers & Adaptor,Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile Chargers & Adaptor
37,Indian Times & Mobiles,9846855699 0478 3260006 9947753950,"Cherthala, Alleppey View Location",Be the first one to rate,Watches and mobile shop. Dealers of all types of branded mobilephones and watches. We undertake mobile phones and watches servicing and repairing works.,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Branded Mobile & Second Hand Mobile Phone,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Branded Mobile & Second Hand Mobile Phone
38,Phone Smart Mobiles,8089579758,"kizhisseri, Malappuram View Location","5 out of 5, based on user votes","All mobile sales and service,online services,programming,accessories,unlocking,softwares,sim activation.",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Mobile Phone Servicing,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Mobile Phone Servicing
39,Nice Gallery,9495644146 8078011406,"Ayarkunnam, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.",Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
40,iTeck Care,9447885879 0484-4871114,"Palarivattom, Ernakulam View Location",Be the first one to rate,"iTeck Care is one of the leading iPhone Express service centers in Kerala, in Ernakulam, Kochi, Cochin, Kerala. Specialize in iPhone broken screen replacement, display replacement, software updating in Kochi. Highly experience iPhone technicians with over 18 years of experience. Original OEM spares with 1 year warranty. One of the best ... + More",Also listed In Mobile Phone apple service Mobile Phone Servicing Mobile Phone Unlocking,Also listed In Mobile Phone apple service Mobile Phone Servicing Mobile Phone Unlocking
41,Josetech Mobiles,8281827714 7511114605,"Caritas, Kottayam View Location",Be the first one to rate,"Making available a wide range of mobiles and tablets of all renowned national and international brands such as OPPO, Apple, Gionee, Sony, Samsung, Vivo, XOLO, Google, Honor, HTC, Huawei, etc., this is surely a one-stop shop for the young and the old. Connecting people, this mobile store ensures to offer its products at the best prices and... + More",Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Phone Accessories Shop,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Phone Accessories Shop
42,Mobi Hub,9633113396 9961028025,"Kanjikuzhi, Kottayam View Location",Be the first one to rate,"Dealers of mobilephones, tablets and dutypaid items. Making available a wide range of mobiles and tablets of all renowned national and international brands such as OPPO, Apple, Gionee, Sony, Samsung, Vivo, XOLO, Google, Honor, HTC, Huawei, etc., this is surely a one-stop shop for the young and the old. Connecting people, this mobile store... + More",Also listed In Mobile Phone Mobile Phone Unlocking Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Unlocking Sales and Service Mobile Phone Shop
43,Samsung Smart Cafe,9072337718,"Cherthala, Alleppey View Location",Be the first one to rate,"Mobiles & electronics shop. All types of mobiles sales, service and accessories available. Authorised dealer of Intex, Samsung, Vivo, Oppo, Micromax, Nokia etc....",Also listed In Mobile Phone Mobile Phone Shop Mobile Accessories,Also listed In Mobile Phone Mobile Phone Shop Mobile Accessories
44,Mobile Zone,7511122384 0481-2488927,"Karukachal, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets,computerized phone servicing,unlocking, wireless speakers, mobile phone covers,batteries, etc.",Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
45,Salalah Mobiles & Duty Paid,9142716064 8089370369,"Kottayam Town, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, duty paid items..",Also listed In Mobile Phone Mobile Phone Shop Mobile phone accessories,Also listed In Mobile Phone Mobile Phone Shop Mobile phone accessories
46,Next Mobile Shop,9562214375,"Karukachal, Kottayam View Location",Be the first one to rate,"Mobiles & electronics shop. All types of mobiles sales, service and accessories available. Authorised dealer of Intex, Samsung, Vivo, Oppo, Micromax, Nokia etc....",Also listed In Mobile Phone Sales and Service Mobiles & Electronics Mobile phone accessories,Also listed In Mobile Phone Sales and Service Mobiles & Electronics Mobile phone accessories
47,Qms mobiles,9526128202 04742482264 6235395000,"Pulamon, Kollam View Location",Be the first one to rate,പ്രിയപ്പെട്ട ഉപഭോക്‌താക്കളെ മൊബൈൽ ഫോൺ റിപ്പയറിങ് രംഗത്ത് വൻ കുതിപ്പാണ് QMS MOBILES നടത്തുന്നത്. 3 വർഷത്തിലധികം പ്രവർത്തി പരിജയം ഉള്ള ടെക്‌നിഷ്യന്മാർ ഇവിടെ ജോലി ചെയ്യുന്നു. Neet& perfect ആയി വർക്ക്‌ ചെയ്തു കൊടുക്കുന്നു.,"Also listed In Mobile Phone apple service HTC Service Center MOTO, XIOMI servicing","Also listed In Mobile Phone apple service HTC Service Center MOTO, XIOMI servicing"
48,Union Mobiles,9744074028,"Thirunakkara, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.",Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Accessories,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Accessories
49,Priyanka Mobiles,7902834233,"Pulimoodu Jn, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc",Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop
50,Mobile Store,9605023876 9020204034,"Pulimoodu Jn, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers,mobile phone covers,batteries, etc...",Also listed In Mobile Phone Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Sales and Service Mobile Phone Shop
51,Techno Mobile Care,9847934488 9567387191,"Vyttila, Cochin, Ernakulam View Location",Be the first one to rate,"Techno Mobile Care 1, htc service center 2, motrola service center Techno Care is one among the leading Mobile Service Centers in Kochi, Kerala. Techno Care offers professional Mobile Phone repair services at best in kerala. We have a fully trained, experienced service department ready to handle all... + More",Also listed In Mobile Phone HTC Service Center Mobile Accessories Mobile Care,Also listed In Mobile Phone HTC Service Center Mobile Accessories Mobile Care
52,Mobile Magic,9995118885 9744554866,"Kaniyapuram, Trivandrum View Location",Be the first one to rate,"Mpbilephone Shop. Mobile sales, service, unlocking and accessories available.",Also listed In Mobile Phone Mobile Phone Unlocking Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop,Also listed In Mobile Phone Mobile Phone Unlocking Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop
53,Al-Akbar Mobile Shop,9633599973,"Erattupetta, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries,dutypaid items..",Also listed In Mobile Phone Mobile Phone Shop Mobile phone accessories,Also listed In Mobile Phone Mobile Phone Shop Mobile phone accessories
54,Smartex - Mobile Phone Service Center Kollam,6235396000,"Kottarakkara, Kollam View Location",Be the first one to rate,"Is your Phone screen cracked? Has the battery of your smart phone left you hanging? Your microphone is defective, or you spilled water over your iPad? Our technicians can fix it all on-site with premium parts and expert labour. There’s no need to book an appointment or to mail your device into a remote service centre. Just call us or drop... + More",Also listed In Mobile Phone apple service Mobile Phone Servicing Mobile Phone Unlocking,Also listed In Mobile Phone apple service Mobile Phone Servicing Mobile Phone Unlocking
55,Mobilez,9645277769 9847506540,"Erattupetta, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.",Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop
56,Matha Mobiles,9846863185 0481-2545850 7591910091,"Ayarkunnam, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.",Also listed In Mobile Phone Mobile Phone Shop Mobile phone accessories,Also listed In Mobile Phone Mobile Phone Shop Mobile phone accessories
57,4 G Developers Mobile Shop,9633845517,"Kaniyapuram, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers,mobile phone covers,batteries, etc",Also listed In Mobile Phone Mobile Phone Servicing,Also listed In Mobile Phone Mobile Phone Servicing
58,Orchid Mobiles,9048380380,"Kaniyapuram, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.",Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Accessories,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Accessories
59,Mobile 4 You,9947120163 9995120163,"Kaniyapuram, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc",Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop
60,D.R.Mobile Shop,7025219147,"Pothencode, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc...",Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop
61,Mobile Mall,9745831301 9400008008,"Kaniyapuram, Trivandrum View Location",Be the first one to rate,"Making available a wide range of mobiles and tablets of all renowned national and international brands such as OPPO, Apple, Gionee, Sony, Samsung, Vivo, XOLO, Google, Honor, HTC, Huawei, etc., this is surely a one-stop shop for the young and the old. Connecting people, this mobile store ensures to offer its products at the best prices and... + More",Also listed In Mobile Phone Sales and Service Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop,Also listed In Mobile Phone Sales and Service Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop
62,Mobil Tech,9400007007 9656666054,"Kaniyapuram, Trivandrum View Location",Be the first one to rate,"Mobilephone shop. All types of branded mobilephones sales, service and accessories etc....",Also listed In Mobile Phone Sales and Service Mobile Accessories Branded Mobile & Second Hand Mobile Phone,Also listed In Mobile Phone Sales and Service Mobile Accessories Branded Mobile & Second Hand Mobile Phone
63,Heart Touch,9400846291,"Kaniyapuram, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.",Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile phone accessories,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile phone accessories
64,Vijaya Communication,9846983854,"Kulathoor, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers,mobile phone covers,batteries, etc.",Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop
65,Adhi Communication,9645955164 9037387264,"Kulathoor, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers,mobile phone covers,batteries, etc.",Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
66,Galaxy Mobiles,9947609793 8086151582,"Tb Road, Kottayam View Location",Be the first one to rate,"Mobile phone shop. All types of mobilephones sales, service and accessories",Also listed In Mobile Phone Mobile Phone Servicing Mobile phone accessories Branded Mobile & Second Hand Mobile Phone,Also listed In Mobile Phone Mobile Phone Servicing Mobile phone accessories Branded Mobile & Second Hand Mobile Phone
67,Twins Mobiles,9947943434 9995509998,"Attingal, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers",Also listed In Mobile Phone Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Sales and Service Mobile Phone Shop
68,Mobile Touch.,7828100100,"Attingal, Trivandrum View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers",Also listed In Mobile Phone Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Sales and Service Mobile Phone Shop
69,Fone Shop,9895678199 9605616155 9746122051,"Kozhichantha Road, Kottayam View Location",Be the first one to rate,Mobile Phone Shop. We offers : * Sales * Service * Used phone * Exchange * Accessories,Also listed In Mobile Phone Sales and Service Mobile phone accessories Branded Mobile & Second Hand Mobile Phone,Also listed In Mobile Phone Sales and Service Mobile phone accessories Branded Mobile & Second Hand Mobile Phone
70,Mobile Campus,9539630129 9562050807,"Kadakkavoor, Trivandrum View Location",Be the first one to rate,"Mobile Shop. All kinds of mobiles, tab sales and services. Dealers of Nokia, Samsung, Lenovo, oppo, vivo, Cromax, Asus, Huawei etc....",Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Accessories,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Accessories
