,name,phone,address,rating,description,main_tag,sub_tag
21,Cell Care Mobile Service Center,9995487186,"Thiruvalla, Pathanamthitta View Location",Be the first one to rate,"This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Pathanamthitta. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establish... + More",Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
22,AEON Digital Hub,8547282930 04792412829,"Haripad, Alleppey View Location",Be the first one to rate,"Aeon mobiles' first platform (shop) was established on 10th september 2016, saturday at Chakkalayil buildings, near Kumarapuram panchayat office, Haripad. Later on after three and half years we have shifted our showroom to Akhil buildings (opposite to previous shop)and we renamed it as ""AEON DIGITAL HUB""","Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop Mobile, Internet, Computer And Dtp","Also listed In Mobile Phone Mobile Accessories Mobile Care Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop Mobile, Internet, Computer And Dtp"
23,Nano Tech,9633585050,"Pulamon, Kollam View Location",Be the first one to rate,"Nanotech in Kollam is one of the leading businesses in the Mobile Phone Dealers. Also known for Mobile Phone Dealers, Mobile Phone Repair & Services, Mobile Phone Dealers-Samsung, Mobile Phone Dealers-MI, Mobile Phone Dealers-Oppo, Mobile Phone Dealers-Nokia, Mobile Phone Memory Card Dealers and much more. Find Address, Contact Number... + More",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Care Mobile phone accessories Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Care Mobile phone accessories Mobile Phone Servicing Mobile Phone Shop Sales and Service
24,O2 Mobiles,9846180920,"Vyttila, Ernakulam View Location",Be the first one to rate,"O2 Mobiles in Ernakulam. Mobile Phone Dealers with Address, Contact Number, Photos, Maps. View O2 Mobiles, Ernakulam on Justdial. A dealer of mobiles and tablets, O2 Mobiles in Vyttila has been providing an extraordinary service to the citizens ever since its establishment in 2015. Making available a wide range of mobiles and tablets o... + More",Also listed In Mobile Phone Mobile Accessories Mobile Phone Distributors Mobile Phone Shop,Also listed In Mobile Phone Mobile Accessories Mobile Phone Distributors Mobile Phone Shop
25,Alleppey Mobiles,9847592174 0477 2254699 0477 2237337,"Alleppey, Alleppey View Location",Be the first one to rate,"Mobiles, Laptop,LED TV(Sales & Service). Mobile Accessories, Mobile Charger and Adapter, Second hand mobile phones available. Laptop sales & service",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Batteries Mobile Phone Chargers Mobile Phone Distributors Mobile Phone Servicing Mobile Phone Shop
26,J J Mobiles,7012000696 9207000696,"Manjadi, Pathanamthitta View Location",Be the first one to rate,Mobile phone shop,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Phone Servicing Sales and Service,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Phone Servicing Sales and Service
27,Cellular Mobiles,7034034842,"Anchalummood, Kollam View Location",Be the first one to rate,Mobile phones shop.,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
28,Sudhamritham Digital Hub,8589060060 9946481335,"Koyilandy, Calicut View Location",Be the first one to rate,Mobile phones shop.,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
29,All mobile solutions,9995322001,"Nr. High School Jn., Kollam View Location",Be the first one to rate,Mobile phone service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Sales and Service
30,Ifix Phone Repair,6235394745,"Pathanamthitta, Pathanamthitta View Location","5 out of 5, based on user votes",Mobile phone repair,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Accessories Shop apple service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Accessories Shop apple service
31,Fonez,9388212345,"Statue, Trivandrum View Location","5 out of 5, based on user votes",,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
32,Twins Mobiles,9895240850,"Pattom, Trivandrum View Location",Be the first one to rate,,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
33,Venus Mobiles,9388866606,"Thirumala, Trivandrum View Location",Be the first one to rate,,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
34,Karthika Electronics and Digital hub,9947977788 04682211266 9447595344,"Kozhencherry, Pathanamthitta View Location",Be the first one to rate,"Electronics and Digital hub.. This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Pathanamthitta. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and servi... + More",Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Accessories Mobile Chargers & Adaptor Mobile Phone Accessories Shop Mobile Phone Shop Mobiles & Electronics Sales and Service,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Accessories Mobile Chargers & Adaptor Mobile Phone Accessories Shop Mobile Phone Shop Mobiles & Electronics Sales and Service
35,Mi Store,7356643666 04714050287,"Vellayambalam, Trivandrum View Location",Be the first one to rate,"We Deal with Xiaomi Original Products Like , Redmi Phones , Mi TV , Mi Original Accessories With Warrenty...",Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
36,MI STORE RAMANATTUKARA,9544666107 9400345485,"Ramanattukara, Calicut View Location",Be the first one to rate,"Xiaomi was founded in 2010 by serial entrepreneur Lei Jun based on the vision “innovation for everyone”. We believe that high-quality products built with cutting-edge technology should be made accessible to everyone. We create remarkable hardware, software, and Internet services for and with the help of our Mi fans. We incorporate thei... + More","Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Chargers Mobile Phone Shop Mobile, Internet, Computer And Dtp Mobiles & Electronics Sales and Service","Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories Mobile Phone Accessories Shop Mobile Phone Chargers Mobile Phone Shop Mobile, Internet, Computer And Dtp Mobiles & Electronics Sales and Service"
37,INCELL Mobiles,9961474777 9744003999 9207647777,"Ettumanoor, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all types of Branded Mobiles Phones, Spares and Accessories Etc... We undertake mobile Servicing &Repairing Works,Recharge Coupons,New Mobile Connections, Head Phones, Bluetooth headsets, Wireless Speakers, Mobile phone covers,Batteries, etc.",Also listed In Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Mobile phone accessories Sales and Service
38,MOBILEMART,9142448844 04844044443 9142213141,"Kaloor, Ernakulam View Location",Be the first one to rate,"Welcome to the all new World of Mobile Mart, south India’s most trusted digital establishment that makes your life better through technology and change the way you buy, by unboxing an online shopping experience you have been missing for so long. Having started the journey in 2017 , we maximised the showroom connectivity, to become the one... + More",Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service,Also listed In Mobile Phone Branded Mobile & Second Hand Mobile Phone Mobile phone accessories Sales and Service
39,Amigos Communications,9846780036,"Kuravilangad, Kottayam View Location",Be the first one to rate,Mobilephone Servicing Centre,Also listed In Mobile Phone Mobile Phone Servicing Mobile Accessories,Also listed In Mobile Phone Mobile Phone Servicing Mobile Accessories
40,A 2 Z Mobile Accessories,8301800100,"Caltex, Kannur View Location",Be the first one to rate,Mobile Phone shop. Dealers of all branded mobiles and Accessories. All types of Mobile Servicing and Recharging,Also listed In Mobile Phone Mobile phone accessories Mobile Phone Shop,Also listed In Mobile Phone Mobile phone accessories Mobile Phone Shop
41,Prabha Enterprises,9562002111 0495 2360746,"Calicut, Calicut View Location",Be the first one to rate,"Computerised Servicing Centre of Smartphones, Tablets, China Phone Etc............",Also listed In Mobile Phone Mobile Phone Servicing,Also listed In Mobile Phone Mobile Phone Servicing
42,G Hub,8137883344 04862-222782,"Thodupuzha, Idukki View Location",Be the first one to rate,Mobile phone shop,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Phone Accessories Shop,Also listed In Mobile Phone Sales and Service Mobile Phone Shop Mobile Phone Accessories Shop
43,MOBILE CARE,9946210080,"Kothamangalam, Ernakulam View Location",Be the first one to rate,"Mobile care - Branded mobiles, second hand mobiles, mobile accessories, mobile phone servicing, mobile phone distributors etc",Also listed In Mobile Phone Mobile Phone Servicing Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service
44,Kadavarath,9645020559 9645020559,"Chalissery, Palakkad View Location",Be the first one to rate,Mobiles Sales & Service,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
45,Grand Mobiles,9895112432 9847071112,"Pulimoodu Jn, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop. Dealers of all Branded Mobiles and Accessories. All types of Mobile Servicing and Recharging,New Mobile Connections, Etc",Also listed In Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories,Also listed In Mobile Phone Mobile Accessories Mobile Chargers & Adaptor Mobile phone accessories
46,Next Mobiles & Electronics,9562214375,"Karukachal, Kottayam View Location",Be the first one to rate,"Mobile phone & Electronics Shop. Dealers and computerised repairing and service centre of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.Authorised dealers of Reliance Jio, Micromax, Lava, Samsung, Lenovo, Nokia, Intex & Oppo. All ... + More",Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing Mobiles & Electronics,Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing Mobiles & Electronics
47,Hi- Tech Mobiles,9746244628,"Puthuppally, Kottayam View Location",Be the first one to rate,"Mobile Phone unlocking, formatting, Soft ware, Tab Servicing, modern unlocking and other mobile phones services",Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing,Also listed In Mobile Phone Mobile Accessories Mobile Phone Servicing
48,4G Mobiles,9747686436 0483-2724466,"Edavannappara, Malappuram View Location","4.5 out of 5, based on user votes",Mobile Phone sales and Service,Also listed In Mobile Phone Sales and Service,Also listed In Mobile Phone Sales and Service
49,3 G Mobiles,9744288054,"Kothamangalam, Ernakulam View Location",Be the first one to rate,"Mobile Shop. All kinds of branded Mobilephones sales, Service and Accessories. computerised Mobile Servicing and Recharge Coupons are Available",Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Accessories Mobile Phone Shop Sales and Service
50,MOBILE CARE SALES & SERVICE,9740108363,"Ernakulam Town, Ernakulam View Location",Be the first one to rate,MOBILE CARE SALES & SERVICE,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop
51,Cityfones,9387003300,"Kollam, Kollam View Location",Be the first one to rate,,Also listed In Mobile Phone Mobile Care Mobile Phone Servicing,Also listed In Mobile Phone Mobile Care Mobile Phone Servicing
52,i7 Mobiles,9496607907,"Kumarapuram, Trivandrum View Location",Be the first one to rate,,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
53,Onyx Mobile Shop,9895074243,"Neyyattinkara, Trivandrum View Location",Be the first one to rate,"Mobile Shop. Dealers of all types of mobilephones. Sales, service and accessories of all kinds of mobilephones available.",Also listed In Mobile Phone Sales and Service Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop,Also listed In Mobile Phone Sales and Service Branded Mobile & Second Hand Mobile Phone Mobile Phone Accessories Shop
54,CHINA CITY,9037070703 9037060703,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,Tab and Mobile Servicing center,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop
55,Selfie Mobile Showroom,7012578411 9995342324,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,Mobile Showroom,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Mobile phone accessories,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Shop Mobile phone accessories
56,Mobile store,9895656127 7293036364,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,,Also listed In Mobile Phone Mobile Phone Servicing Mobile & D2h Rechaging Mobile Care,Also listed In Mobile Phone Mobile Phone Servicing Mobile & D2h Rechaging Mobile Care
57,Pouch World,9072863763,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Batteries Mobile Care,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Batteries Mobile Care
58,Mobiles Mobile Shop,9072563763,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,Mobile Shop,"Also listed In Mobile Phone Sales and Service Mobile, Internet, Computer And Dtp","Also listed In Mobile Phone Sales and Service Mobile, Internet, Computer And Dtp"
59,Krisha Telecom,9080779710 9567615051,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,Mobile shop,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Chargers Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Chargers Sales and Service
60,White Line,8129129310,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,Mobiles AND Watches,Also listed In Mobile Phone Mobile Phone Servicing Mobile Care Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Mobile Care Mobile Phone Shop
61,Fone Zone,9995547722,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,The complete mobile care Hospital,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Batteries Mobiles & Electronics,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Batteries Mobiles & Electronics
62,Cell Point Mobile Shop,9995919057,"Neyyattinkara, Trivandrum View Location",Be the first one to rate,"Mobile phone Shop. Dealers of all types of mobile phones. All kinds of mobilephones sales, service and accessories available.",Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Servicing Sales and Service Mobile Phone Shop
63,Sona Agencies,0471 2222368,"Neyyattinkara, Trivandrum View Location",Be the first one to rate,"A dealer of mobiles and tablets, Sona Agencies in Neyyattinkara has been providing an extraordinary service to the citizens ever since its establishment in 2005. Making available a wide range of mobiles and tablets of all renowned national and international brands such as OPPO, Apple, Gionee, Sony, Samsung, Vivo, XOLO, Google, Honor, HTC,... + More",Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Batteries Sales and Service,Also listed In Mobile Phone Mobile Phone Servicing Mobile Phone Batteries Sales and Service
64,Phone City,8089990909,"Pazhavangadi, Pathanamthitta View Location",Be the first one to rate,Mobile shop,Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobiles & Electronics,Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobiles & Electronics
65,Moove And Talk,9995803575,"Anchuthengu, Trivandrum View Location",Be the first one to rate,"This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Trivandrum. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establishment... + More",Also listed In Mobile Phone Mobile phone accessories Mobile Accessories,Also listed In Mobile Phone Mobile phone accessories Mobile Accessories
66,Renom Mobil Shop,9539543081,"Anchuthengu, Trivandrum View Location",Be the first one to rate,"This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Trivandrum. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establishment... + More",Also listed In Mobile Phone Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Shop Sales and Service
67,M C Mobile City,9526070921,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,"This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Trivandrum. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establishment... + More",Also listed In Mobile Phone Sales and Service Mobile phone accessories Mobile Accessories,Also listed In Mobile Phone Sales and Service Mobile phone accessories Mobile Accessories
68,Xcell Spares Mobile Shop,9746299989 9995124416,"Thakaraparambu, Trivandrum View Location",Be the first one to rate,"This well-known establishment acts as a one-stop destination servicing customers both local and from other parts of Trivandrum. Over the course of its journey, this business has established a firm foothold in it’s industry. The belief that customer satisfaction is as important as their products and services, have helped this establishment... + More",Also listed In Mobile Phone Mobile Phone Shop Mobile phone accessories Mobile Accessories,Also listed In Mobile Phone Mobile Phone Shop Mobile phone accessories Mobile Accessories
