,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
10,Rafik Hariri University,world rank  11006,"PO Box 10
Damour
2010 Mount Lebanon
Lebanon",+961 (5) 603 090,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
11,Rafsanjan University of Medical Sciences,world rank  7198,"Rafsanjan
Kerman
Iran",+98,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
12,Rah-e-Saadat University,world rank  Un,"Mazar-i-Sharif
Balkh
Afghanistan",+93,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
13,Rahnaward Institute of Higher Education,world rank  13368,"Chehel-Methar Road
Mazar-i-Sharif
Balkh
Afghanistan",+93 (77) 480 0000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
14,Rai Technology University,world rank  12050,"11th Mile Gallu, Doddaballapur - Nelamangala Road Mallohalli Village Kadanur
Doddaballapura
561 204 Karnataka
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
15,Rai University,world rank  9426,"Village - Saroda, Taluka- Dholka
Ahmedabad
382 260 Gujarat
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"Rai University
|
School of Engineering and Applied Sciences Rai Business School College of Media and Communication School of Fashion Technology and Performing Arts School of Arts, Science and Commerce School of Law School of Agriculture School of Life Sciences Center for Research and Development","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
16,Raiganj University,world rank  11102,"College Para
Raiganj
733 134 West Bengal
India",+91 (3252) 243 586,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
17,Raj Rishi Bharthari Matsya University,world rank  10192,"Girls Hostel Building, Babu Shobha Ram Arts College Campus
Alwar
301 001 Rajasthan
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
18,Raja Mansingh Tomar Music and Arts University,world rank  10965,"Swarang Parisar, Needam Road, Naka Chandravadani Chouraha
Gwalior
474 002 Madhya Pradesh
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
19,Rajabhat Maha Sarakham University,world rank  6132,"80 Nakhonsawan Road, Muang
Maha Sarakham
44000 Maha Sarakham
Thailand",+66 (43) 722 118-9,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Rajabhat Maha Sarakham University
|
Faculty of Humanities and Social Sciences Faculty of Education Faculty of Science and Technology Faculty of Management Science Faculty of Agricultural Technology Faculty of Information Technology School of Law and Government","['library', 'housing', 'sports facilities', 'financial aid']"
20,Rajamangala University of Technology Isarn,world rank  5307,"744 Suranarai Road, Muang
Nakhon Ratchasima
30000 Nakhon Ratchasima
Thailand",+66 (66) 4423 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
21,Rajamangala University of Technology Krungthep,world rank  6816,"2 Nanlinji Road, Tungmahamek, Sathorn
Bangkok
10120 Bangkok
Thailand",+66 (2) 287 9600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
22,Rajamangala University of Technology Lanna,world rank  4903,"128 Huay Kaew Road
Chiang Mai
50300 Chiang Mai
Thailand",+66 (53) 921 444,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
23,Rajamangala University of Technology Phra Nakhon,world rank  5405,"399 Samsen Road, Vachira Phayaban Dusit
Bangkok
10300 Bangkok
Thailand",+66 (2) 282 9009-15,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
24,Rajamangala University of Technology Rattanakosin,world rank  5931,"96 Moo 3, Salaya, Phuttamonthon
Nakhon Pathom
73120 Nakhon Pathom
Thailand",+66 (2) 889 4585-7,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
25,Rajamangala University of Technology Srivijaya,world rank  5175,"1 Ratchadamnoennok Road, Boryang Sub-district, Muang District
Songkhla
90000 Songkhla
Thailand",+66 (74) 317 100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'distant learning']"
26,Rajamangala University of Technology Suvarnabhumi,world rank  6755,"60 Moo 3, Asia Road, Huntra
Ayothaya
13000 Phra Nakhon Si Ayutthaya
Thailand",+66 (35) 709 103,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
27,Rajamangala University of Technology Tawan-ok,world rank  4023,"43 Moo 6 Bangpra, Sriracha
Chonburi
20110 Chonburi
Thailand",+66 (38) 358 137,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
28,Rajamangala University of Technology Thanyaburi,world rank  2989,"Rungsit-Nakornnayok Road, Klong 6
Thanyaburi
12110 Pathum Thani
Thailand",+66 (2) 549 3079,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Rajamangala University of Technology Thanyaburi
|
Faculty of Technical Education","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
29,Rajanagarindra Rajabhat University,world rank  7327,"422 Maruphong Road, Mueang
Chachoengsao
24000 Chachoengsao
Thailand",+66 (38) 511 010,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
30,Rajapruk University,world rank  10817,"9 M.1 Nakorn-in Road Bang Khanun Sub-district Bang Krui District
Nonthaburi
11130 Nonthaburi
Thailand",+66 (2) 432 6101-5,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
31,Rajarata University of Sri Lanka,world rank  7068,"Mihinthale
Anuradhapura
50300 North Central Province
Sri Lanka",+94 (25) 226 6643,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Rajarata University of Sri Lanka
|
Faculty of Applied Sciences Faculty of Agriculture Faculty of Management Studies Faculty of Medicine and Allied Sciences Faculty of Social Science and Humanities","['library', 'housing', 'sports facilities', 'distant learning']"
32,Rajasthan Technical University Kota,world rank  5040,"Rawat Bhata Road, Akelgarh
Kota
324 010 Rajasthan
India",+91 (744) 247 3003,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
33,Rajasthan University of Health Sciences,world rank  6452,"Sector 18, Kumbha Marg, Pratap Nagar, Sanganer, Tonk Road
Jaipur
302 033 Rajasthan
India",+91 (141) 279 3352,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Medical Council of India (MCI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
34,Rajasthan University of Veterinary and Animal Sciences,world rank  8026,"Bijey Bhawan Palace Complex, Near Deendayal Upadhyay Circle
Bikaner
334 001 Rajasthan
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
35,Rajin University of Marine Transport,world rank  Un,"Rason
North Hamgyong
North Korea",+850,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
36,Rajiv Gandhi Institute of Petroleum Technology,world rank  6166,"Ratapur Chowk
Raebareli
229 316 Uttar Pradesh
India",+91 535-2217427,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Rajiv Gandhi Institute of Petroleum Technology
|
Department of Petroleum Engineering Department of Chemical Engineering Department of Management Studies Department of Geology Department of Chemistry Department of Physics Department of English Department of Mathematics",['library']
37,Rajiv Gandhi National Aviation University,world rank  11853,"Near Fursatganj Airfield, Fursatganj
Raebareli
229 302 Uttar Pradesh
India",+91 (11) 4263 2950,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
38,Rajiv Gandhi National Institute of Youth Development,world rank  8635,"Chennai-Bangalore Highway, Pennalur, Sriperumbudur
Sriperumbudur
602 105 Tamil Nadu
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
39,Rajiv Gandhi National University of Law,world rank  8932,"Sidhuwal Bhadson Road, Village Sidhuwal
Patiala
147 001 Punjab
India",+91 (175) 230 4188,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
40,Rajiv Gandhi Proudyogiki Vishwavidyalaya,world rank  4832,"Airport Bypass
Bhopal
462 033 Madhya Pradesh
India",+91 (755) 274 2001-3,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Indian Universities (AIU)
National Assessment and Accreditation Council (NAAC)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
41,Rajiv Gandhi University,world rank  7678,"Rono Hills, PO Doimukh
Itanagar
791 112 Arunachal Pradesh
India",+91 (360) 227 7253,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Indian Universities (AIU)
Distance Education Bureau (DEB)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'distant learning']"
42,Rajiv Gandhi University of Health Sciences,world rank  6379,"4th T Block, Jayanagar
Bangalore
560 041 Karnataka
India",+91 (80) 663 8901,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of Indian Universities (AIU)
Medical Council of India (MCI)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
43,Rajiv Gandhi University of Knowledge Technologies,world rank  8099,"3rd Floor, Nilgiri Building, IIIT-H Campus, Gachibowli
Hyderabad
500 032 Telangana
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
44,Rajiv Gandhi University of Science and Technology,world rank  13165,"135 Sheriff Street
Georgetown
Demerara-Mahaica
Guyana",+592 227 1027,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,no-data,"Rajiv Gandhi University of Science and Technology
|
School of Medicine School of Science and Technology","['library', 'sports facilities', 'financial aid']"
45,Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,world rank  9620,"Race Course Road, Opposite Mela Ground
Gwalior
474 002 Madhya Pradesh
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
46,Rajshahi Medical University,world rank  12290,"Medical College Road, Laxmipur, Rajpara
Rajshahi
6100 Rajshahi
Bangladesh",+880 (721) 772150,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
47,Rajshahi Science and Technology University,world rank  12515,"VIP Tower, Holding# 112, Dhaka Road, Bara Harishpur, Natore Sadar
Natore
6400 Rajshahi
Bangladesh",+880 (771) 61032,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Rajshahi Science and Technology University
|
Faculty of Science and Engineering Faculty of Business Faculty of Liberal Arts and Social Sciences",['Not reported']
48,Rajshahi University,world rank  4950,"Rajshahi - Dhaka Hwy
Rajshahi
6205 Rajshahi
Bangladesh",+880 (721) 750 244,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Rajshahi University
|
Faculty of Arts Faculty of Social Science Faculty of Science Faculty of Engineering Faculty of Life and Earth Faculty of Business Studies Faculty of Law and Justice Faculty of Agriculture Faculty of Fine Arts Faculty of Medicine","['library', 'housing', 'sports facilities', 'financial aid']"
49,Rajshahi University of Engineering and Technology,world rank  8994,"Rajshahi-Natore-Dhakaroad
Rajshahi
6204 Rajshahi
Bangladesh",+880 (721) 750 798,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Rajshahi University of Engineering and Technology
|
Faculty of Civil Engineering Faculty of Computer and Electrical Engineering Faculty of Mechanical Engineering Faculty of Applied Science and Humanities","['library', 'housing', 'sports facilities', 'financial aid']"
50,Raksha Shakti University,world rank  10349,"New Mental Corner, Meghaninagar
Ahmedabad
380 016 Gujarat
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
51,Rakuno Gakuen University,world rank  4789,"582-1 Bunkyodai-Midorimachi
Ebetsu
069-8501 Hokkaido
Japan",+81 (11) 386 1111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
52,Rama Devi Women's University,world rank  11460,"PO Bhoinagar
Bhubaneswar
751 022 Odisha
India",+91 (674) 254 2644,Women Only,"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
53,Rama University,world rank  9154,"Rama City, Mandhana, Near Mandhana Railway Station, G.T. Road
Kanpur
209 217 Uttar Pradesh
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
54,Ramaiah University of Applied Sciences,world rank  8271,"University House, Gnanagangothri Campus, New Bel Road, M S R Nagar
Bangalore
560 054 Karnataka
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
55,Ramakrishna Mission Vivekananda Educational and Research Institute,world rank  8499,"PO Belur Math
Belur
711 202 West Bengal
India",+91 (33) 2654 9999,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
56,Ramapo College of New Jersey,world rank  1981,"505 Ramapo Valley Road
Mahwah
07430-1680 New Jersey
United States",+1 (201) 684 7500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"American Chemical Society (ACS)
Council on Social Work Education (CSWE)
Association to Advance Collegiate Schools of Business (AACSB International)","State of New Jersey
American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
57,Rambhai Barni Rajabhat University,world rank  6251,"41 Moo 5 Racksukchamoon Road, Mueang
Chanthaburi
22000 Chanthaburi
Thailand",+66 (39) 471 053-57,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
58,Ramkhamhaeng University,world rank  1871,"Ramkhamhaeng Road, Huamark
Bangkok
10240 Bangkok
Thailand",+66 (2) 310 8897,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Association of Southeast Asian Institutions of Higher Learning (ASAIHL),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
59,Rana University,world rank  9655,"Baraki Square
Kabul
25000 Kabul
Afghanistan",+93 (77) 310 2049,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,"AACSB International
ACCA","Rana University
|
Faculty of Business Faculty of Law and Political Science Faculty of Computer Science Faculty of Journalism and Mass Communication","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
60,Ranada Prasad Shaha University,world rank  12055,"25, Sultan Giasuddin Road, Shitalakhya
Narayanganj
1400 Narayanganj
Bangladesh",+880 (2) 763 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
61,Ranchi University,world rank  7005,"Shaheed Chowk
Ranchi
834 008 Jharkhand
India",+91 (651) 220 8553,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Indian Universities (AIU)
Medical Council of India (MCI)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
62,Randolph College,world rank  3739,"2500 Rivermont Avenue
Lynchburg
24503-1555 Virginia
United States",+1 (434) 947 8000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Chemical Society (ACS)
National Association of State Directors of Teacher Education and Certification","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
63,Randolph-Macon College,world rank  3253,"204 Henry Street
Ashland
23005-5505 Virginia
United States",+1 (804) 752 7200,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,American Chemical Society (ACS),"Council of Independent Colleges (CIC)
National Association of Independent Colleges and Universities (NAICU)
International Association of Methodist-related Schools, Colleges, and Universities (IAMSCU)
Annapolis Group of Liberal Arts Colleges (Annapolis Group)
Oberlin Group
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
64,Rangamati Science and Technology University,world rank  11849,"N 106
Rangamati
4500 Chittagong
Bangladesh",+880 (1704) 383 642,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Rangamati Science and Technology University
|
Faculty of Science and Engineering Faculty of Business Studies","['library', 'housing']"
65,Rangsit University,world rank  4454,"52/347 Muang-Ake Pahonyontin Road, Lak-Hok
Pathum Thani
12000 Pathum Thani
Thailand",+66 (2) 997 2200 30,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,Association of Southeast Asian Institutions of Higher Learning (ASAIHL),"Rangsit University
|
College of Medicine Faculty of Dentistry Faculty of Pharmacy Faculty of Nursing Faculty of Medical Technology Faculty of Physical Therapy Faculty of Optology Faculty of Science College of Oriental Medicine College of Engineering College of Information and Communication Technology College of Agricultural Innovation Biotechnology and Food Faculty of Arts and Design and Design Faculty of Digital Art Faculty of Architecture Faculty of Accounting Faculty of Business Administration College of Tourism and Hospitality Institute of Aviation Faculty of Liberal Arts College of Communication Arts Faculty of Law Faculty of Economics College of Social Innovation Conservatory of Music College of Government","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
66,"Rani Channamma University, Belagavi",world rank  8937,"Vidyasangama, P.B. National Highway-4, Bhootaramanahatti
Belagavi
591 156 Karnataka
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
67,Rani Durgavati Vishwavidyalaya,world rank  6629,"Pachpedi, Civil Line
Jabalpur
482 001 Madhya Pradesh
India",+91 (761) 260 1452,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Indian Universities (AIU)
Distance Education Bureau (DEB)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'distant learning']"
68,Rani Lakshmi Bai Central Agricultural University,world rank  10126,"National Highway 75, Near Pahuj Dam, Gwalior Road
Jhansi
284 003 Uttar Pradesh
India",+91 (510) 273 0777,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
69,Ras al-Khaimah Medical and Health Sciences University,world rank  10157,"PO Box 11172
Ras al-Khaimah
Ras al-Khaimah
United Arab Emirates",+971 (7) 226 9999,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
70,Ras Bihari Bose Subharti University,world rank  12715,"Kotra Santour, Nanda Ki Chowki
Dehradun
248 007 Uttarakhand
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
71,Rashtrasant Tukadoji Maharaj Nagpur University,world rank  8199,"Chhatrapati Shivaji Maharaj Administrative Premises, Ravindranath Tagore Marg
Nagpur
440 001 Maharashtra
India",+91 (712) 252 5417,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Indian Universities (AIU)
Medical Council of India (MCI)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
72,Rashtriya Sanskrit Sansthan University,world rank  6867,"56-57, Institutional Area, Janakpuri D Block
New Delhi
110 058 NCT of Delhi
India",+91 (11) 2852 4993,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Indian Universities (AIU)
Distance Education Bureau (DEB)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'distant learning']"
