,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
12,University of Missouri-Kansas City,world rank  379,"5100 Rockhill Road
Kansas City
64110 Missouri
United States",+1 (816) 235 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
National Association of Schools of Public Affairs and Administration (NASPAA)
American Bar Association Council of the Section of Legal Education and Admissions to the Bar (ABA)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Dental Association’s Commission on Dental Accreditation (CODA)
Liaison Committee on Medical Education (LCME)
Accreditation Review Commission on Education for the Physician Assistant (ARC-PA)
Commission on Accreditation of Allied Health Education Programs (CAAHEP)
Accreditation Council for Pharmacy Education (ACPE)
National Association of Schools of Music (NASM)
the National Association of Schools of Dance (NASD)
National Association of Schools of Theatre (NAST)
Council for the Accreditation of Educator Preparation (CAEP)
Master’s in Psychology and Counseling Accreditation Council (MPCAC)
American Psychological Association (APA)
Council on Social Work Education (CSWE)","University of Missouri System
Association of Public and Land-Grant Universities (APLU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
13,University of Missouri-St. Louis,world rank  748,"One University Boulevard
St. Louis
63121-4400 Missouri
United States",+1 (314) 516 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"National Alliance of Concurrent Enrollment Partnerships (NACEP)
Association to Advance Collegiate Schools of Business (AACSB International)
American Chemical Society
Council for Accreditation of Counseling and Related Educational Programs (CACREP)
Missouri Department of Elementary & Secondary Education (DESE)
National Association of School Psychologist (NASP)
Council for Accreditation of Educator Preparation (CAEP)
Engineering Accreditation Commission (EAC) of ABET
National Association of Schools of Music (NASM)
Commission on Collegiate Nursing Education (CCNE)
Accreditation Council on Optometric Education
American Psychological Association (APA)
Association for Assessment and Accreditation of Laboratory Animal Care International (AAALAC)
Council on Social Work Education (CSWE)
National Association of Schools of Public Affairs and Administration (NASPAA)","University of Missouri System
American Association of State Colleges and Universities (AASCU)
Association of Public and Land-Grant Universities (APLU)
American Council on Education (ACE)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
14,University of Miyazaki,world rank  2013,"1-1 Gakuen Kibanadai-nishi
Miyazaki
889-2192 Miyazaki
Japan",+81 (985) 58 7104,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"University of Miyazaki
|
Faculty of Agriculture Faculty of Education Faculty of Engineering Faculty of Medicine Faculty of Regional Innovation","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
15,University of Mkar,world rank  11466,"Mkar
Benue
Nigeria",+234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"University of Mkar
|
Faculty of Food Science and Technology Faculty of Management Faculty of Natural and Applied Sciences",['library']
16,University of Mobile,world rank  4151,"5735 College Parkway Drive
Mobile
36613-2842 Alabama
United States",+1 (251) 675 5990,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"National Association of Schools of Music (NASM)
Accreditation Council for Business Schools and Programs (ACBSP)
National League for Nursing (NLN)
Alabama Board of Nursing (ABN)
Commission on Accreditation of Allied Health Education Programs (CAAHEP)","National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
17,University of Modern Sciences,world rank  12402,"Z 77 Street
Sana'a
Sanaa
Yemen",+967 (1) 468 305,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
18,University of Mohaghegh Ardabili,world rank  5831,"Ardabil
Ardabil
Iran",+98,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
19,University of Montevallo,world rank  3041,"75 College Drive
Montevallo
35115-6000 Alabama
United States",+1 (205) 665 6000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
American Speech-Language-Hearing Association (ASHA), Council on Academic Accreditation in Audiology and Speech-Language Pathology","American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
20,University of Moratuwa,world rank  2447,"Katubedda
Moratuwa
10400 Western Province
Sri Lanka",+94 (11) 265 0301,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Association of Commonwealth Universities (ACU),"University of Moratuwa
|
Faculty of Engineering Faculty of Architecture Faculty of Information Technology","['library', 'sports facilities']"
21,University of Mosul,world rank  6307,"Almajmuaa Street
Mosul
41002 Nineveh
Iraq",+964 (60) 810 733,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,Federation of the Universities of the Islamic World (FUIW),"University of Mosul
|
College of Medicine 1 College of Medicine 2 College of Engineering College of Sciences College of Arts College of Agriculture and Forestry College of Administration and Economics College of Education College of Veterinary Medicine College of Physical Education College of Law College of Pharmacy College of Teacher Training College of Nursing College of Fine Arts College of Computer Science and Mathematics College of Dentistry College of Electronic Engineering College of Political Sciences College of Islamic Sciences College of Environmental Techniques","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
22,University of Mount Olive,world rank  4675,"634 Henderson Street
Mount Olive
28365-0919 North Carolina
United States",+1 (919) 658 2502,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
23,University of Mount Union,world rank  3190,"1972 Clark Avenue
Alliance
44601-3993 Ohio
United States",+1 (800) 992 6682,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Engineering Accreditation Commission (EAC) of ABET,"Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
24,University of Mpumalanga,world rank  8244,"C/r R40 and D725 Roads
Nelspruit
1200 Mpumalanga
South Africa",+27 (13) 002 0001,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
25,University of Mumbai,world rank  2110,"M.G. Road, Fort
Mumbai
400 032 Maharashtra
India",+91 (22) 2265 6789,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of Indian Universities (AIU)
Medical Council of India (MCI)
Distance Education Bureau (DEB)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
26,University of Mysore,world rank  3445,"Crawford Hall
Mysore
570 005 Karnataka
India",+91 (821) 242 8666,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of Indian Universities (AIU)","University of Mysore
|
Faculty of Arts Faculty of Science and Technology Faculty of Commerce Faculty of Education Faculty of Law","['library', 'housing', 'sports facilities']"
27,University of Nairobi,world rank  946,"PO Box 30197
Nairobi
00100 Nairobi
Kenya",+254 (20) 318 262,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of African Universities (AAU)","University of Nairobi
|
Centre for Biotechnology and Bioinformatics Centre for HIV Prevention and Research Centre for Open and Distance Learning Faculty of Agriculture Faculty of Arts Faculty of Veterinary Medicine Institute for Development Studies Institute of Anthropology, Gender and African Studies Institute of Diplomacy and International Studies Institute of Nuclear Science and Technology Institute of Tropical and Infectious Diseases Population Studies and Research Institute School of Law School of Medicine School of Biological Sciences School of Business School of Computing and Informatics School of Continuing and Distance Education School of Dental Sciences School of Economics School of Education School of Engineering School of Journalism School of Mathematics School of Nursing Sciences School of Pharmacy School of Physical Sciences School of The Arts and Design School of The Built Environment The Wangari Maathai Institute for Peace and Environmental Studies","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
28,University of Namibia,world rank  2419,"Private Bag 13301, 340 Mandume Ndemufayo Avenue, Pionierspark
Windhoek
9000
Namibia",+264 (61) 206 3111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of African Universities (AAU)","University of Namibia
|
Faculty of Agriculture and Natural Resources Neudamm Agricultural College Ogongo Agricultural College Centre for External Studies Centre for Human Rights and Documentation Centre for Justice Training Centre for Language Centre for eLearning and Interactive Multimedia Faculty of Economic and Management Science Faculty of Education Faculty of Engineering and Information Technology Faculty of Agriculture and Natural Resources School of Medicine School of Nursing School of Pharmacy School of Public Health Faculty of Humanities and Social Sciences Faculty of Law Faculty of Science Namibia Business School Centre of Postgraduate Studies","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
29,University of National and World Economy,world rank  4765,"Studentski Grad Hristo Botev
Sofia
1756 Sofia City
Bulgaria",+359 (2) 963 0042,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,European University Association (EUA),"University of National and World Economy
|
Faculty of General Economics Faculty of Business Faculty of Management and Computer Science Faculty of Finance and Accounting Faculty of Economics of Infrastructure Faculty of International Economics and Politics Faculty of Law","['library', 'housing', 'sports facilities']"
30,University of Nebraska at Kearney,world rank  1637,"2504 9th Avenue
Kearney
68849-1212 Nebraska
United States",+1 (308) 865 8441,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
American Chemical Society (ACS)
American Speech-Language-Hearing Association (ASHA), Council on Academic Accreditation in Audiology and Speech-Language Pathology","University of Nebraska System
American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
31,University of Nebraska at Omaha,world rank  676,"6001 Dodge Street
Omaha
68182-0225 Nebraska
United States",+1 (402) 554 2800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
American Chemical Society (ACS)","University of Nebraska System
American Association of State Colleges and Universities (AASCU)
Coalition of Urban and Metropolitan Universities (CUMU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
32,University of Nebraska Medical Center,world rank  1007,"42nd & Dewey Avenue
Omaha
68198-7815 Nebraska
United States",+1 (402) 559 4000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Accreditation Council for Pharmacy Education (ACPE)
American Dental Association (ADA), Commission on Dental Accreditation","University of Nebraska System
American Association of State Colleges and Universities (AASCU)",['Not reported']
33,University of Nebraska-Lincoln,world rank  62,"14th and R Street
Lincoln
68588 Nebraska
United States",+1 (402) 472 7211,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar
Applied and Natural Science Accreditation Commission (ANSAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
Computing Accreditation Commission (CAC) of ABET","University of Nebraska System
American Association of State Colleges and Universities (AASCU)
Association of Public and Land-Grant Universities (APLU)
Association of American Universities (AAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
34,University of Negros Occidental - Recoletos,world rank  11581,"Lizares Avenue
Bacolod City
6100 Western Visayas
Philippines",+63 (34) 433 2449,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
35,"University of Nevada, Las Vegas",world rank  434,"4505 South Maryland Parkway
Las Vegas
89154 Nevada
United States",+1 (702) 895 3011,Men and Women (coed),"Asian American, Native American or Pacific Islander-serving Institution","Yes, international applicants are welcome to apply for admission",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Applied and Natural Science Accreditation Commission (ANSAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
Computing Accreditation Commission (CAC) of ABET","Nevada System of Higher Education (NSHE)
American Association of State Colleges and Universities (AASCU)
Association of Public and Land-Grant Universities (APLU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
36,"University of Nevada, Reno",world rank  425,"1664 North Virginia Street
Reno
89557 Nevada
United States",+1 (775) 784 1110,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET","Nevada System of Higher Education (NSHE)
Association of Public and Land-Grant Universities (APLU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
37,University of New Brunswick,world rank  537,"PO Box 4400
Fredericton
E3B 5A3 New Brunswick
Canada",+1 (506) 453 4666,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Universities Canada (UC)
Association of Commonwealth Universities (ACU)
Canadian Virtual University (CVU)
Canadian University Society for Intercollegiate Debate (CUSID)
Association of University Forestry Schools of Canada (AUFSC)
Canadian Bureau for International Education (CBIE)
Canadian University Press (CUP)","University of New Brunswick
|
Faculty of Arts Faculty of Administration Faculty of Computer Science Faculty of Education Faculty of Engineering Faculty of Forestry and Environmental Management Faculty of Kinesiology Faculty of Law Faculty of Nursing Faculty of Science Renaissance College College of Extended Learning","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
38,University of New England,world rank  1338,"11 Hills Beach Road
Biddeford
04005-9599 Maine
United States",+1 (207) 283 0171,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Council on Accreditation of Nurse Anesthesia Educational Programs (AANA)
American Occupational Therapy Association (AOTA), Accreditation Council for Occupational Therapy Education (ACOTE)","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
39,"University of New England, Australia",world rank  696,"Elm Ave
Armidale
2351 New South Wales
Australia",+61 (0)2 6773 3333,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Universities Australia
Regional Universities Network (RUN)","University of New England, Australia
|
Faculty of Science, Agriculture, Business and Law Faculty of Medicine and Health Faculty of Humanities, Arts, Social Sciences and Education","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
40,University of New Hampshire,world rank  191,"105 Main Street, Thompson Hall
Durham
03824-3547 New Hampshire
United States",+1 (603) 862 1234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
Engineering Technology Accreditation Commission (ETAC) of ABET
American Association for Leisure and Recreation (AALR), Council on Accreditation","University System of New Hampshire
American Association of State Colleges and Universities (AASCU)
Association of Public and Land-Grant Universities (APLU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
41,University of New Haven,world rank  1420,"300 Boston Post Road
West Haven
06516-1916 Connecticut
United States",+1 (203) 932 7000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Dietetic Association, Commission on Accreditation for Dietetics Education (CADE)","National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
42,University of New Mexico,world rank  120,"1700 Lomas Boulevard Northeast
Albuquerque
87106 New Mexico
United States",+1 (505) 277 0111,Men and Women (coed),Hispanic-serving Institution,"Yes, international applicants are welcome to apply for admission",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar","Association of Public and Land-Grant Universities (APLU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
43,University of New Orleans,world rank  1133,"2000 Lakeshore Drive
New Orleans
70148 Louisiana
United States",+1 (888) 514 4275,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET","University of Louisiana System (UL System)
Association of Public and Land-Grant Universities (APLU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
44,University of New York in Prague,world rank  4069,"Londýnská 41
Prague
120 00 Prague
Czech Republic",+420 224 221 281,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
International Business Forum (IBF)
Central and East European Management Development Association (CEEMAN)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
45,University of Neyshabur,world rank  11276,"Neyshabur
Razavi Khorasan
Iran",+98 (51) 433 05 0000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"University of Neyshabur
|
Faculty of Engineeringl Faculty of Basic Sciencesl Faculty of Humanities Faculty of Arts","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
46,University of Nicosia,world rank  1973,"46 Makedonitissas Avenue
Nicosia
2417 Nicosia
Cyprus",+357 (22) 841 500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,"European University Association (EUA)
European Association of Institutions in Higher Education (EURASHE)
European University Association Council for Doctoral Education (EUA-CDE)
European Network for Academic Integrity (ENAI)
Association of Commonwealth Universities (ACU)
Magna Charta Universitatum Observatory (MCUO)","University of Nicosia
|
School of Business School of Education School of Humanities and Social Sciences School of Law Medical School School of Sciences and Engineering","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
47,University of Nigeria,world rank  3440,"Innovation Centre, University of Nigeria
Nsukka
410101 Enugu
Nigeria",+234 (803) 775 0954,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Association of African Universities (AAU),"University of Nigeria
|
Faculty of Agriculture Faculty of Arts Faculty of Biological Sciences Faculty of Business Administration Faculty of Engineering Centre for Technical Vocational Education, Training and Research Centre for Basic Space Science Centre for Energy Research","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
