,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
10,East China University of Technology,world rank  6765,"Fuzhou
Jiangxi
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
11,East Delta University,world rank  9943,"Abdullah Al Noman Road, Noman Society, East Nasirabad Khulshi
Chittagong
4209 Chittagong
Bangladesh",+880 (963) 81444 13,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"East Delta University
|
Faculty of Business Faculty of Liberal Arts and Social Sciences",['library']
12,East European University,world rank  10385,"16 Nechuy-Levitsky Street
Cherkasy
18036 Cherkasy Oblast
Ukraine",+380 (472) 647 055,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
13,"East European University, Georgia",world rank  11370,"4 Shatili Street
Tbilisi
Tbilisi
Georgia",+995 (32) 248 0141,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
14,East Georgia State College,world rank  3885,"131 College Circle
Swainsboro
30401 Georgia
United States",+1 (478) 289 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Public State,Non-Profit,Accreditation Commission for Education in Nursing (ACEN),"University System of Georgia
Accreditation Commission for Education in Nursing (ACEN)
Alternative Media Access Center (AMAC)
American Council on Education (ACE)
American Association of Collegiate Registrars and Admissions Officers (AACRAO)
American Library Association/ Association of College and Research Libraries (combined)
American Society of Composers, Authors, and Publishers (ASCAP)
Association of Colleges and University Auditors (ACUA)
Association for Student Conduct Administrators (ASCA)
Association for the Promotion of Campus Activities (ACPA)
Association of Physical Plant Administrators (APPA)
Broadcast Music Incorporated (BMI)
National Association for Foreign Student Advisers—Association of International Educators (NAFSA)
College and University Professional Association for Human Resources (CUPA-HR) College Board
Community College Survey of Student Engagement (CCSSE)
Council for Advancement and Support of Education (CASE)
Georgia Advisory Council on Military Education (GAACME)
Georgia Association of Collegiate Registrars and Admissions Officers (GACRAO) Georgia Association of Student
Financial Aid Administrators (GASFAA)
Georgia Association of Veteran Certifying Officials (GAVCO)
Georgia Association of Chiefs of Police (GACP)
Georgia College Personnel Association
Georgia Collegiate Athletic Association (GCAA)
Georgia Education Articulation Committee
Georgia Education Advancement Council (GEAC)
Georgia State Firefighters Association (GSFA)
Georgia Housing Officers (GHO)
Institute of Internal Auditors (IIA)
LYRASIS
National Association of Branch Campus Administrators
NACAS (Auxiliary Services)
National Association of College and University Attorneys (NACUA)
National Association of College and University Business Officers (NACUBO) NAFSA (Association of International
Educators)
National Association of Student Financial Aid Administrators (NASFA)
National Junior College Athletic Association (NJCAA)
National Rehabilitation Association
Service Members Opportunity Colleges (SOC)
Society of European Stage Authors and Composers
Southern Association of Colleges and Schools (SACSCOC)
Southern Association of Student Financial Aid Administrators
National Athletic Association (NAA)
National Junior College Athletic Association (NJCAA)",['Not reported']
15,East Siberia State University of Technology and Management,world rank  5678,"40V Klyuchevskaya ul.
Ulan-Ude
670013 Buryat Republic
Russia",+7 (3012) 431 415,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"East Siberia State University of Technology and Management
|
Institute of Food Engineering and Biotechnology Faculty of Ecology, Service, Technology and Design Construction Faculty Mechanical Engineering Faculty Institute of Economics and Law Electrical Engineering Faculty Regional Institute of Professional Training Reserve Officer Training Department Techological College","['library', 'housing', 'sports facilities', 'career services']"
16,East Stroudsburg University,world rank  2380,"200 Prospect Street
East Stroudsburg
18301-2999 Pennsylvania
United States",+1 (570) 422 3211,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"American Association for Leisure and Recreation (AALR), Council on Accreditation
American Chemical Society (ACS)
Computing Accreditation Commission (CAC) of ABET
American Speech-Language-Hearing Association (ASHA), Council on Academic Accreditation in Audiology and Speech-Language Pathology","Pennsylvania State System of Higher Education (PASSHE)
American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
17,East Tennessee State University,world rank  858,"1276 Gilbreath Drive
Johnson City
37614-0000 Tennessee
United States",+1 (423) 439 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Applied and Natural Science Accreditation Commission (ANSAC) of ABET
Computing Accreditation Commission (CAC) of ABET
Engineering Technology Accreditation Commission (ETAC) of ABET","Tennessee Board of Regents (TBR)
American Association of State Colleges and Universities (AASCU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
18,East Texas Baptist University,world rank  4057,"One Tiger Drive
Marshall
75670-1498 Texas
United States",+1 (903) 923 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Commission on Accreditation of Athletic Training Education (CAATE)
National Association of Schools of Music (NASM)","Council for Christian Colleges and Universities (CCCU)
Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
19,East Timor Coffee Institute,world rank  Un,"Rua Gleno Distrito Ermera
Gleno
Ermera
East Timor",+670 7727 2531,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"East Timor Coffee Institute
|
Faculties of Agriculture Faculty of Education Faculty of Economics",['library']
20,East Timor Institute of Business,world rank  13026,"Praia dos Coqueiros
Dili
Dili
East Timor",+670 7789 8004,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"East Timor Institute of Business
|
Faculty of Economics Faculty of Computer Sciences Faculty of Engineering",['library']
21,East Ukrainian National University,world rank  6421,"Tsentralny Avenue, 59A
Severodonetsk
93406 Luhansk Oblast
Ukraine",+380 (6452) 40 342,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Magna Charta Universitatum Observatory (MCUO)
Euroasian Universities Association (EURAS)
European Universities Association (EUA)
International Association of Universities (IAU)
Association of Carpathian Region Universities (ACRU)","East Ukrainian National University
|
Institute of Economics and Management Institute of International Relations Institute of Transport and Logistics Faculty of Information Technology and Electronics Faculty of Humanities, Psychology and Pedagogy Faculty of Law Faculty of Engineering Severodonetsk Chemical Mechanical Technical School Institute of Chemical Technology","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
22,East University of Heilongjiang,world rank  9946,"331 Xuefu Road, Nangang District
Harbin
150086 Heilongjiang
China",+86 (451) 8667 3244,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
23,East West University,world rank  7376,"Plot A/2, Main Road, Jahurul Islam City, Aftabnagar
Dhaka
1212 Dhaka
Bangladesh",+880 (2) 985 8261,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,Board of Accreditation for Engineering and Technical Education (BAETE),"East West University
|
Faculty of Arts Faculty of Business Administration Faculty of Computer Science Faculty of Law Faculty of Science Faculty of Social Science","['library', 'sports facilities', 'financial aid']"
24,East Yangon University,world rank  12813,"Thanlyin
11292 Yangon
Myanmar",+95,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
25,Eastern Asia University,world rank  8495,"200 Rangsit-Nakornnayok Road
Rangsit
12110 Pathum Thani
Thailand",+66 (2) 577 1028,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
26,Eastern Connecticut State University,world rank  2258,"83 Windham Street
Willimantic
06226 Connecticut
United States",+1 (860) 465 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Council on Social Work Education (CSWE)
Council for the Accreditation of Educator Preparation (CAEP)","Connecticut State University System
American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
27,Eastern Illinois University,world rank  1004,"600 Lincoln Avenue
Charleston
61920 Illinois
United States",+1 (217) 581 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
American Association for Leisure and Recreation (AALR), Council on Accreditation
Accrediting Council on Education in Journalism and Mass Communications (ACEJMC)","American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
28,Eastern Kentucky University,world rank  825,"521 Lancaster Avenue
Richmond
40475-3102 Kentucky
United States",+1 (859) 622 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Technology Accreditation Commission (ETAC) of ABET
American Association for Leisure and Recreation (AALR), Council on Accreditation","American Association of State Colleges and Universities (AASCU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
29,Eastern Liaoning University,world rank  9266,"Dandong
Liaoning
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
30,Eastern Mennonite University,world rank  5874,"1200 Park Road
Harrisonburg
22802-2462 Virginia
United States",+1 (540) 432 4000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association for Clinical Pastoral Education (ACPEAC), Accreditation Commission
Association of Theological Schools in the United States and Canada (ATS), Commission on Accrediting","Council for Christian Colleges and Universities (CCCU)
Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
31,Eastern Michigan University,world rank  776,"900 Oakwood Street
Ypsilanti
48197 Michigan
United States",+1 (734) 487 1849,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Technology Accreditation Commission (ETAC) of ABET
American Association of Colleges for Teacher Education (AACTE)
American Bar Association (ABA)
Council for the Accreditation of Educator Preparation (CAEP)","American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
32,Eastern Nazarene College,world rank  3681,"23 E Elm Avenue
Quincy
02170-2999 Massachusetts
United States",+1 (617) 745 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Department of Education of the Commonwealth of Massachusetts
National Association of State Directors of Teacher Education and Certification
Council on Social Work Education (CSWE)
Massachusetts Board of Higher Education","Council for Christian Colleges and Universities (CCCU)
Council of Independent Colleges (CIC)
Nazarene Educators Worldwide (NEW)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
33,Eastern New Mexico University,world rank  2585,"ENMU Station 2, 1500 S Avenue K
Portales
88130 New Mexico
United States",+1 (575) 562 1011,Men and Women (coed),Hispanic-serving Institution,"Yes, international applicants are welcome to apply for admission",Public State,Non-Profit,"Accreditation Council for Business Schools and Programs (ACBSP)
American Chemical Society (ACS)
American Speech-Language-Hearing Association (ASHA), Council on Academic Accreditation in Audiology and Speech-Language Pathology","American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
34,Eastern Oregon University,world rank  2485,"One University Boulevard
La Grande
97850 Oregon
United States",+1 (541) 962 3672,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,no-data,"American Association of State Colleges and Universities (AASCU)
International Assembly for Collegiate Business Education (IACBE)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
35,Eastern Palm University,world rank  12593,"Ogboko
Imo
Nigeria",+234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
36,Eastern Polytechnic,world rank  12964,"Kenema
Eastern Province
Sierra Leone",+232 (76) 778 231,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
37,Eastern Samar State University,world rank  12119,"Barangay Maypangdan
Borongan
6800 Eastern Visayas
Philippines",+63 (55) 261 2727,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
38,Eastern University,world rank  2477,"1300 Eagle Road
St. Davids
19087-3696 Pennsylvania
United States",+1 (610) 341 5800,Men and Women (coed),Hispanic-serving Institution,"Yes, international applicants are welcome to apply for admission",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Council on Social Work Education (CSWE)","Council for Christian Colleges and Universities (CCCU)
Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
39,Eastern University of Sri Lanka,world rank  7717,"Vantharumoolai
Batticaloa
30350 Eastern Province
Sri Lanka",+94 (65) 224 0490,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,Association of Commonwealth Universities (ACU),"Eastern University of Sri Lanka
|
Faculty of Agriculture Faculty of Arts and Culture Faculty of Commerce and Management Faculty of Science Faculty of Health-Care Sciences Faculty of Technology","['library', 'housing', 'sports facilities', 'career services']"
40,Eastern University of Technology,world rank  12493,"Highway intersection - Highway 01A
Xuan Thanh
Southeast Region
Vietnam",+84 (61) 377 2668,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
41,"Eastern University, Bangladesh",world rank  8950,"House 15/2, Road 3, Dhanmondi R/A
Dhaka
1205 Dhaka
Bangladesh",+880 (88) 967 6031-5,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,For-Profit,no-data,"Eastern University, Bangladesh
|
Faculty of Arts Faculty of Business Administration Faculty of Computer and Information Technology Faculty of Law","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
42,Eastern Virginia Medical School,world rank  2064,"700w. Olney
Norfolk
23507 Virginia
United States",+1 (757) 446 5600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public State,Non-Profit,"Commission on Accreditation of Allied Health Education Programs (CAAHEP)
Council on Education for Public Health (CEPH)
Liaison Committee on Medical Education (LCME)",Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
43,Eastern Visayas State University,world rank  10746,"Salazar Street, Quarry District
Tacloban City
6500 Eastern Visayas
Philippines",+63 (53) 321 2185,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
44,Eastern Washington University,world rank  1165,"526 5Th Street
Cheney
99004-2496 Washington
United States",+1 (509) 359 6200,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
Engineering Technology Accreditation Commission (ETAC) of ABET
American Association for Leisure and Recreation (AALR), Council on Accreditation","American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
45,East-Kazakhstan State Technical University,world rank  4946,"Protozanov str., 69
Ust-Kamenogorsk
070024 East Kazakhstan Region
Kazakhstan",+7 (7232) 26 28 89,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
46,East-Kazakhstan State University,world rank  5491,"30-Gvardeiskya divisiya str., 34
Ust-Kamenogorsk
070020 East Kazakhstan Region
Kazakhstan",+7 (7232) 54 14 11,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
47,East-West University,world rank  7098,"816 S Michigan Avenue
Chicago
60605 Illinois
United States",+1 (312) 939 0111,Men and Women (coed),predominantly Black-serving Institution,"Yes, international applicants are welcome to apply for admission",Private,Non-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
48,EBC Hochschule Hamburg,world rank  6014,"Esplanade 6
Hamburg
20354 Hamburg
Germany",+49 (40) 323 370-0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'career services']"
49,Eberhard Karls Universität Tübingen,world rank  283,"Wilhelmstrasse 5
Tübingen
72074 Baden-Wurttemberg
Germany",+49 (7071) 29 0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,European University Association (EUA),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
50,Ebla Private University,world rank  12166,"Saraqeb
Idlib
Idlib
Syria",+963 (23) 278 141,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,no-data,"Ebla Private University
|
Faculty of Engineering Faculty of Administration Faculty of Pharmacy Faculty of Languages and Human Sciences Faculty of Political Science and International Relations","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
51,Ebonyi State University,world rank  9007,"Private Mailbox 53
Abakaliki
Ebonyi
Nigeria",+234 (43) 221337,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Ebonyi State University
|
Faculty of Agriculture Faculty of Applied and Natural Sciences Faculty of Arts and Humanities Faculty of Basic Medical Sciences Faculty of Clinical Medicine Faculty of Education Faculty of Health Sciences and Technology Faculty of Law",['library']
52,EBS Rahvusvaheline ülikool,world rank  6184,"Lauteri 3
Tallinn
10114 Harju County
Estonia",+372 665 1325,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,"European Foundation for Management Development (EFMD)
Central and East European management Development Association (CEEMAN)
Baltic Management Development Association (BMDA)","EBS Rahvusvaheline ülikool
|
Department of Marketing Department of Entrepreneurship Department of Management Department of Accounting and Finance Institute of Social sciences Department of Economics Department of Behavioral Sciences Department of Information Technology Department of Law and Public Administration Institute of Foreign Languages Centre of Ethics Centre of Entrepreneurship Executive Training Centre","['library', 'housing', 'sports facilities', 'financial aid']"
53,EBS Universität für Wirtschaft und Recht,world rank  4013,"Rheingaustrasse 1
Oestrich-Winkel
65375 Hesse
Germany",+49 (611) 7102 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,"CFA Institute
Association to Advance Collegiate Schools of Business (AACSB International)
CAIA Association
Council of International Schools (CIS)
Deutscher akademischer Austauschdienst (DAAD)","EBS Universität für Wirtschaft und Recht
|
EBS Business School EBS Law School","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
54,EBZ Business School,world rank  7616,"Springorumallee 20
Bochum
44795 North Rhine-Westphalia
Germany",+49 (234) 9447 606,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
55,ECAM Lyon,world rank  5068,"40, Montée Saint-Barthélemy
Lyon
69321 Auvergne-Rhone-Alpes
France",+33 (0)4 72 77 06 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Fédération des établissements d'enseignement supérieur d'intérêt collectif (FESIC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
