,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
12,Galilee International Management Institute,world rank  7447,"PO Box 208
Nahalal
1060000 Northern District
Israel",+972 (4) 642 8888,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['housing', 'financial aid']"
13,Gallaudet University,world rank  892,"800 Florida Avenue Northeast
Washington
20002-3695 District of Columbia
United States",+1 (202) 651 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Association for Leisure and Recreation (AALR), Council on Accreditation
Accreditation Council for Business Schools and Programs (ACBSP)
American Psychological Association (APA)
American Speech-Language-Hearing Association (ASHA)","National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
14,Galway-Mayo Institute of Technology,world rank  3700,"Dublin Road
Galway
H91 T8NW County Galway
Ireland",+353 (91) 753 161,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Connacht-Ulster Alliance
European University Association (EUA)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
15,Gambat Institute of Medical Sciences,world rank  12802,"Gambat Station Road
Khairpur
Sindh
Pakistan",+92 (243) 640 160,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
16,Gandhara University,world rank  10529,"Gandhara University Canal Road, University Town
Peshawar
25000 Khyber Pakhtunkhwa
Pakistan",+92 (91) 584 4429 32,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
17,Gandhi Institute of Technology and Management,world rank  3764,"Gandhinagar Campus, Rushikonda
Visakhapatnam
530 045 Andhra Pradesh
India",+91 (891) 279 0101,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
18,Gandhigram Rural University,world rank  6445,"Gandhigram
624 302 Tamil Nadu
India",+91 (451) 245 2371,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Association of Indian Universities (AIU)
Distance Education Bureau (DEB)","Gandhigram Rural University
|
Faculty of Tamil, Indian Languages and Rural Arts Faculty of English and Foreign Languages Faculty of Rural Social Sciences Faculty of Rural Oriented Sciences Faculty of Rural Development Faculty of Agriculture and Animal Husbandry Faculty of Rural Health and Sanitation","['library', 'sports facilities', 'distant learning']"
19,Gangadhar Meher University,world rank  10105,"Fatak, Budharaja
Sambalpur
768 004 Odisha
India",+91 (663) 240 3413,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
20,Gangneung-Wonju National University,world rank  8348,"San 123 Chibyon-dong
Gangneung
210-702 Gangwon
South Korea",+82 (33) 640 2767,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
21,Gannan Medical University,world rank  9873,"1 Yi Xue Yuan Road
Ganzhou
341000 Jiangxi
China",+86 (797) 826 9687,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
22,Gannan Normal University,world rank  9375,"Ganzhou
341000 Jiangxi
China",+86 (797) 839 3600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
23,Gannon University,world rank  2457,"109 W Sixth Street
Erie
16541-0001 Pennsylvania
United States",+1 (814) 871 7000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Council on Accreditation of Nurse Anesthesia Educational Programs (AANA)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
Accreditation Council for Business Schools and Programs (ACBSP)","Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
24,Ganpat University,world rank  7149,"Ganpat Vidyanagar, Mehsana - Gozaria Highway
Mehsana
384 012 Gujarat
India",+91 (2762) 286 080,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association of Indian Universities (AIU)
Association of Commonwealth Universities (ACU)","Ganpat University
|
Faculty of Engineering and Technology Faculty of Computer Applications Faculty of Management Studies Faculty of Pharmacy Faculty of Architecture, Design and Planning Faculty of Sciences Faculty of Social Sciences and Humanities Faculty of Skill Development","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
25,Gansu Agricultural University,world rank  3730,"1 Yingmencun, Anning Distict
Lanzhou
730070 Gansu
China",+86 (931) 763 1125,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
26,Gansu Medical College,world rank  10955,"Pingliang
Gansu
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
27,Gansu Normal University for Nationalities,world rank  10554,"Zhihema Road
Hezuo
747000 Gansu
China",+86 (941) 825 2885,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
28,Gansu University of Chinese Medicine,world rank  8461,"35 Dingxi Road
Lanzhou
730000 Gansu
China",+86 (931) 861 5253,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
29,Gansu University of Political Science and Law,world rank  5264,"Anning West Road 6
Lanzhou
730070 Gansu
China",+86 (931) 760 1586,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
30,Garden City University,world rank  8052,"GCC HOUSE, H. No. 340, 5TH MAIN, Indiranagar Double Road, Stage 1, Indiranagar
Bangalore
560 038 Karnataka
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
31,Garden City University College,world rank  8940,"PO Box 12755
Kumasi
Ashanti
Ghana",+233 (51) 73927,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,Kwame Nkrumah university of Science and Technology (KNUST),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
32,Gardner-Webb University,world rank  2650,"110 South Main Street
Boiling Springs
28017-0997 North Carolina
United States",+1 (704) 406 4000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
33,Garissa University,world rank  10447,"Garissa
Garissa
Kenya",+254,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
34,Gauhati University,world rank  4738,"Gopinath Bordoloi Nagar
Guwahati
781 014 Assam
India",+91 (361) 257 0412,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of Indian Universities (AIU)
Medical Council of India (MCI)
Distance Education Bureau (DEB)","Gauhati University
|
Faculty of Arts Faculty of Sciences Faculty of Commerce Faculty of Law Faculty of Medicine Faculty of Engineering","['library', 'distant learning']"
35,Gautam Buddha University,world rank  7801,"Yammuna Expressway
Greater Noida
201 308 Uttar Pradesh
India",+91 (120) 234 4200,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
36,Gavar State University,world rank  10180,"1 Hrant Hakobyan Street
Gavar
1201 Gegharkunik
Armenia",+374 (10) 282 075,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Gavar State University
|
Faculty of Economics Faculty of Humanities Faculty of Natural Sciences Faculty of Philology Faculty of Part-time Education","['library', 'sports facilities', 'financial aid']"
37,Gawharshad Institute of Higher Education,world rank  11897,"Darulaman Road
Kabul
Kabul
Afghanistan",+93 (78) 592 8292,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Gawharshad Institute of Higher Education
|
Faculty of Law and Political Science Faculty of Economics and Business Administration Faculty of Computer Science Faculty of Engineering","['library', 'financial aid']"
38,Gaza University,world rank  11557,"Tal al- Hawa - Aoun Shawa Street, PO Box 1113
Gaza City
Gaza Strip
Palestinian Territory",+970 (8) 288 5731,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
39,Gazarchin University of Mongolia,world rank  12521,"Ard Ayush Avenue
Ulaanbaatar
Ulaanbaatar
Mongolia",+976 9914 0097,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
40,Gazi Üniversitesi,world rank  1447,"Gazi Üniversitesi Rektörlügü, Teknikokullar
Ankara
06500 Ankara
Turkey",+90 (312) 213 4244,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
41,Gaziantep Üniversitesi,world rank  2435,"Gaziantep Üniversitesi Rektörlügü, Üniversite Bulvari
Gaziantep
27310 Gaziantep
Turkey",+90 (342) 360 1010,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
42,GD Goenka University,world rank  8250,"Gate No 3: G D Goenka Education City, Sohna
Gurgaon
122 103 Haryana
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
43,Gdanski Uniwersytet Medyczny,world rank  3927,"ul. Marii Sklodowskiej-Curie 3a
Gdansk
80-210 Pomeranian Voivodeship
Poland",+48 (58) 349 2222,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"ScanBalt
Baltic Sea Region University Network (BSRUN)","Gdanski Uniwersytet Medyczny
|
Faculty of Medicine Faculty of Health Sciences Faculty of Pharmacy Intercollegiate Faculty of Biotechnology","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
44,GEA College,world rank  8299,"Dunajska 156
Ljubljana
1000 Lower Carniola
Slovenia",+386 (1) 5881 300,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid', 'distant learning', 'career services']"
45,Gebze Teknik Üniversitesi,world rank  4411,"Gebze Teknik Üniversitesi Rektörlügü Cumhuriyet Mah. 2254 Sok. No:2
Gebze
41400 Kocaeli
Turkey",+90 (262) 605 1527,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
46,Geetanjali University,world rank  10078,"National Highway 8 Bypass, Near Eklingpura Chouraha
Udaipur
313 002 Rajasthan
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
47,Gegee College,world rank  13207,"Ulaanbaatar
Ulaanbaatar
Mongolia",+976 9944 5594,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
48,Geisinger Commonwealth School of Medicine,world rank  Un,"525 Pine Street
Scranton
18510 Pennsylvania
United States",+1 (570) 504 7000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
49,Gence Dövlet Universiteti,world rank  7654,"159 Haydar Aliyev Avenue
Ganja
AZ2000 Ganjabasar
Azerbaijan",+994 (22) 256 2312,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"European University Association (EUA)
Caucasus University Association (KÜNIB)","Gence Dövlet Universiteti
|
Faculty of Foreign Languages Faculty of Economics and Management Faculty of Philology Faculty of History and Geography Faculty of Chemistry and Biology Faculty of Pedagogy Faculty of Physics and Technical subjects Faculty of Mathematics an Informatics","['library', 'housing', 'sports facilities', 'financial aid']"
50,Generolo Jono Žemaicio Lietuvos karo akademija,world rank  8257,"Šilo g. 5A
Vilnius
10322 Vilnius
Lithuania",+370 (5) 2103501,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
51,Geneva College,world rank  2864,"3200 College Avenue
Beaver Falls
15010-3599 Pennsylvania
United States",+1 (724) 846 5100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Engineering Accreditation Commission (EAC) of ABET
Accreditation Council for Business Schools and Programs (ACBSP)
American Chemical Society (ACS)
Commission on Accreditation of Allied Health Education Programs (CAAHEP)","Council for Christian Colleges and Universities (CCCU)
Council of Independent Colleges (CIC)
International Association for the Promotion of Christian Higher Education (IAPCHE)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
52,Georg-August-Universität Göttingen,world rank  267,"Wilhelmsplatz 1
Göttingen
37073 Lower Saxony
Germany",+49 (551) 390,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Coimbra Group
U4 Network","Georg-August-Universität Göttingen
|
Faculty of Agricultural Sciences Faculty of Biology incl. Psychology Faculty of Chemistry Faculty of Forest Sciences and Forest Ecology Faculty of Geoscience and Geography Faculty of Mathematics and Computer Science Faculty of Physics Medical Center Faculty of Law Faculty of Social Sciences Faculty of Economic Sciences Faculty of Humanities Faculty of Theology","['library', 'housing', 'sports facilities', 'financial aid']"
53,George Fox University,world rank  1630,"414 N Meridian Street
Newberg
97132 Oregon
United States",+1 (503) 538 8383,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Engineering Accreditation Commission (EAC) of ABET
American Psychological Association (APA)
Commission on Accreditation of Athletic Training Education (CAATE)
Council on Social Work Education (CSWE)","Christian College Consortium (CCC)
Council for Christian Colleges and Universities (CCCU)
Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
54,George Mason University,world rank  83,"4400 University Drive
Fairfax
22030-4444 Virginia
United States",+1 (703) 993 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Association for Leisure and Recreation (AALR), Council on Accreditation","American Association of State Colleges and Universities (AASCU)
Association of Public and Land-Grant Universities (APLU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
55,George Washington University,world rank  91,"2121 I Street NW
Washington
20052 District of Columbia
United States",+1 (202) 994 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar","Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
56,Georgetown American University,world rank  12967,"81 Croal Street
Georgetown
Demerara-Mahaica
Guyana",+592 226 1375,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Not reported,Wyckoff Hospital,"Georgetown American University
|
School of Medicine School of Technology School of Liberal Arts","['housing', 'sports facilities', 'financial aid', 'career services']"
57,Georgetown College,world rank  2566,"400 East College Street
Georgetown
40324-1696 Kentucky
United States",+1 (502) 863 8000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Kentucky Education Professional Standards Board (KYEPSB),"Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
58,Georgetown University,world rank  70,"37th and O Street NW
Washington
20057-0001 District of Columbia
United States",+1 (202) 687 0100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Bar Association (ABA)
Association to Advance Collegiate Schools of Business (AACSB International)
Liaison Committee on Medical Education (LCME)
Accreditation Commission for Midwifery Education (ACME)","568 Group
International Federation of Catholic Universities (IFCU)
Association of Jesuit Colleges and Universities (AJCU)
Oak Ridge Associated Universities (ORAU)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
59,Georgetown University in Qatar,world rank  6691,"PO Box 23689 Education City
Doha
20007 Ad-Dawhah
Qatar",+974 4457 8100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,Qatar Foundation,"Georgetown University in Qatar
|
School of Foreign Service","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
60,Georgia College and State University,world rank  1687,"231 West Hancock Street
Milledgeville
31061 Georgia
United States",+1 (800) 342 0471,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Commission on Accreditation of Athletic Training Education (CAATE)
National Association of Schools of Music (NASM)
National Association of Schools of Public Affairs and Administration
Council for the Accreditation of Educator Preparation (CAEP)
Georgia Professional Standards Commission
Association for Middle Level Education
American Association of School Librarians
National Middle School Association Council for Exceptional Children
American Music Therapy Association
Association for Experiential Education
Council on Accreditation of Athletic Training Education
The Georgia Professional Standards Commission
Accreditation Commission for Education in Nursing
Georgia Board of Nursing","University System of Georgia
American Association of State Colleges and Universities (AASCU)
Council of Public Liberal Arts Colleges (COPLAC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
61,Georgia Gwinnett College,world rank  2938,"1000 University Center Lane
Lawrenceville
30043 Georgia
United States",+1 (678) 407 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Public State,Non-Profit,no-data,"University System of Georgia
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
62,Georgia Institute of Technology,world rank  51,"225 North Avenue Northwest
Atlanta
30332-0530 Georgia
United States",+1 (404) 894 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Chemical Society (ACS)
Commission on Accreditation of Allied Health Education Programs (CAAHEP)","University System of Georgia
Association of Public and Land-Grant Universities (APLU)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
63,Georgia Southern University,world rank  810,"1332 Southern Drive
Statesboro
30460-8126 Georgia
United States",+1 (912) 478 4636,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
American Association for Leisure and Recreation (AALR), Council on Accreditation","University System of Georgia
American Association of State Colleges and Universities (AASCU)
Association of Public and Land-Grant Universities (APLU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
64,Georgia Southwestern State University,world rank  3454,"800 Georgia Southwestern State University Drive
Americus
31709-4693 Georgia
United States",+1 (877) 871 4594,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Commission on Collegiate Nursing Education (CCNE)
Council for the Accreditation of Educator Preparation (CAEP)","University System of Georgia
American Association of State Colleges and Universities (AASCU)
International Assembly for Collegiate Business Education (IACBE)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
65,Georgia State University,world rank  94,"33 Gilmer Street Southeast
Atlanta
30303-3083 Georgia
United States",+1 (404) 413 2000,Men and Women (coed),"Asian American, Native American or Pacific Islander-serving Institution","Yes, international applicants are welcome to apply for admission",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar","University System of Georgia
Association of Public and Land-Grant Universities (APLU)
Association of Universities for Research in Astronomy (AURA)
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
66,Georgian American University,world rank  10509,"10 Merab Aleksidze Street
Tbilisi
0160 Tbilisi
Georgia",+995 (32) 220 6520,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Georgian American University
|
Business School Law, Social Sciences and Diplomacy School Informatics and Engineering School Humanities and Liberal Arts School Medical School","['library', 'sports facilities', 'career services']"
